Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
048002,,,,2,CA,5,Juniperus chinensis Mint Julep®,Mint Julep®  Juniper,CON,CON,03,    , $15.87 , $15.98 ,,,014949480021,0,12,12,03/01/15  ,0,          ,0,          ,, $13.25 , $2.73 
048005,,,,5,CA,5,Juniperus chinensis Mint Julep®,Mint Julep®  Juniper,CON,CON,03,    , $23.48 , $23.71 , $21.57 ,,014949480052,10,0,0,          ,0,          ,0,          ,, $18.25 , $5.46 
047305,,,,5,CA,5,Juniperus chinensis 'Spartan'                               ,Spartan Juniper                                             ,CON,CON,05,    ,, $31.96 ,,,014949473054,0,19,19,03/01/15  ,0,          ,0,          ,, $26.50 , $5.46 
047307,,,,7,CA,2,Juniperus chinensis 'Spartan'                               ,Spartan Juniper                                             ,CON,CON,05,    ,, $72.66 ,,,014949473078,0,15,15,03/01/15  ,0,          ,0,          ,, $59.00 , $13.66 
048709,,,,15,CA,1,Juniperus chinensis 'Torulosa'                              ,Hollywood Juniper                                           ,CON,CON,05,    ,, $118.31 ,,,014949487099,0,30,30,02/01/15  ,0,          ,0,          ,, $91.00 , $27.31 
048707,,,,7,CA,2,Juniperus chinensis 'Torulosa'                              ,Hollywood Juniper                                           ,CON,CON,05,    ,, $72.66 ,,,014949487075,0,27,27,02/01/15  ,0,          ,0,          ,, $59.00 , $13.66 
049032,,,,2,OR,5,Juniperus communis Alpine Carpet®,Alpine Carpet®  Juniper,CON,CON,03,    , $15.87 ,,,,014949490327,12,0,0,          ,0,          ,0,          ,, $13.25 , $2.62 
049035,,,,5,OR,5,Juniperus communis Alpine Carpet®,Alpine Carpet®  Juniper,CON,CON,03,    , $23.48 ,,,,014949490358,3,3,3,06/01/15  ,0,          ,0,          ,, $18.25 , $5.23 
084905,,,,5,OR,5,Juniperus communis var. montana ,Mountain Juniper                                            ,CON,CON,03,    , $23.48 ,,,,014949051313,5,5,5,06/01/15  ,0,          ,0,          ,, $18.25 , $5.23 
084905ST,,,,5 ST,OR,5,Juniperus communis var. montana ,Mountain Juniper                                            ,CON,CON,03,    , $27.73 ,,,,014949352977,140,247,247,06/01/15  ,0,          ,0,          ,, $22.50 , $5.23 
049101,,,,1,GA,10,Juniperus conferta 'Blue Pacific'                           ,Blue Pacific Shore Juniper                                  ,CON,CON,05,    ,,, $6.91 ,,014949491010,0,310,310,01/01/15  ,0,          ,0,          ,, $6.25 , $0.66 
049102,,,,2,GA,5,Juniperus conferta 'Blue Pacific'                           ,Blue Pacific Shore Juniper                                  ,CON,CON,05,    ,,, $14.91 ,,014949491027,0,34,34,01/01/15  ,0,          ,0,          ,, $13.25 , $1.66 
049103,,,,3,GA,5,Juniperus conferta 'Blue Pacific'                           ,Blue Pacific Shore Juniper                                  ,CON,CON,05,    ,,, $18.66 ,,014949040164,23,2211,737,09/01/14  ,737,01/01/15  ,737,05/15/15  ,, $16.00 , $2.66 
049252,,,,2,CA,5,Juniperus horizontalis 'Blue Chip'                          ,Blue Chip Juniper                                           ,CON,CON,03,    , $15.87 , $15.98 ,,,014949492529,36,0,0,          ,0,          ,0,          ,, $13.25 , $2.73 
049255,,,,5,CA,5,Juniperus horizontalis 'Blue Chip'                          ,Blue Chip Juniper                                           ,CON,CON,03,    , $23.48 , $23.71 ,,,014949492550,33,0,0,          ,0,          ,0,          ,, $18.25 , $5.46 
049901,,,,1,CA,10,Juniperus horizontalis Icee Blue®,Icee Blue®  Juniper,CON,CON,03,    , $7.30 , $7.34 , $6.91 ,,014949499016,360,360,360,04/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
049902,,,,2,CA,5,Juniperus horizontalis Icee Blue®,Icee Blue®  Juniper,CON,CON,03,    , $15.98 , $15.98 , $14.91 ,,014949499023,0,267,267,04/01/15  ,0,          ,0,          ,, $13.25 , $2.73 
049905,,,,5,CA,5,Juniperus horizontalis Icee Blue®,Icee Blue®  Juniper,CON,CON,03,    , $23.48 , $23.71 ,,,014949499054,0,1051,1051,04/01/15  ,0,          ,0,          ,, $18.25 , $5.46 
050302,,,,2,CA,5,Juniperus horizontalis 'Prince of Wales'                    ,Prince Of Wales Juniper                                     ,CON,con,03,    ,, $15.98 ,,,014949503027,28,28,28,03/01/15  ,0,          ,0,          ,, $13.25 , $2.73 
