Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
GA,041691,HOSTA FRANCEE,Hosta x 'Francee'                                           ,Francee Plantain Lily                                       ,,,,,,,,,,,,,,,,,
GA,006981,HOSTA MINUTEMAN,Hosta x 'Minuteman'                                         ,Minuteman Plantain Lily                                     ,,,,,,,,,,,,,,,,,
GA,041651,HOSTA NIGHT BEFORE CHRISTMAS,Hosta x 'Night Before Christmas'                            ,Night Before Christmas Plantain Lily                        ,,,,,,,,,,,,,,,,,
GA,403621,HOSTA PRAYING HANDS,Hosta x 'Praying Hands'                                     ,Praying Hands Hosta                                         ,,,,,,,,,,,,,,,,,
GA,041851,HOSTA WIDE BRIM,Hosta x 'Wide Brim'                                         ,Wide Brim Plantain Lily                                     ,,,,,,,,,,,,,,,,,
GA,077445,HYD ABRACADABRA TM ORB PP21635,"Hydrangea macrophylla 'Hororb' P.P. #21,635                 ",Abracadabra™  Orb Hydrangea,,,,,,,,,,,,,,,,,
GA,077455,HYD ABRACADABRA TM STR PP21636,"Hydrangea macrophylla 'Horabstra' P.P. #21,636              ",Abracadabra™  Star Hydrangea,,,,,,,,,,,,,,,,,
GA,056455,HYD ASPERA PLUM PASSION R,Hydrangea aspera                                            ,Plum Passion®  Hydrangea,,,,,,,,,,,,,,,,,
GA,092752,HYD BLUE ENCHANTRESS R PP25209,"Hydrangea macrophylla 'Monmar' PP #25,209                   ",Blue Enchantress®  Hydrangea,,,,,,,,,,,,,,,,,
GA,017312S,HYD M ENDLESS SUMMER R PP15298,"Hydrangea macrophylla 'Bailmer' P.P. #15,298                ",Endless Summer®  Hydrangea,,,,,,,,,,,,,,,,,
GA,074562S,HYD MAC CTYLN TM PARIS PP10906,"Hydrangea macrophylla	'Paris Rapa' P.P. #10,906             ",Cityline®  Paris Bigleaf Hydrangea,,,,,,,,,,,,,,,,,
GA,074542S,HYD MAC CTYLN TM RIO,"Hydrangea macrophylla	'Ragra'                               ",Cityline®  Rio Bigleaf Hydrangea,,,,,,,,,,,,,,,,,
GA,077465,HYD MAC LD R BIG EASY PPAF,"Hydrangea macrophylla 'Berner' P.P.A.F., C.B.R.A.F.         ",Let's Dance®  Big Easy Hydrangea,,,,,,,,,,,,,,,,,
GA,074592S,HYD MAC LD R MOONLIGHT PP20020,"Hydrangea	macrophylla 'Robert' P.P. #20,020, C.B.R.A.F.     ",Let's Dance®  Moonlight Hydrangea,,,,,,,,,,,,,,,,,
GA,074595,HYD MAC LD R MOONLIGHT PP20020,"Hydrangea	macrophylla 'Robert' P.P. #20,020, C.B.R.A.F.     ",Let's Dance®  Moonlight Hydrangea,,,,,,,,,,,,,,,,,
GA,086315,HYD MAC LD R RHYTHMIC BLUE PAF,Hydrangea macrophylla 'ES14' P.P.A.F.                       ,Let's Dance®  Rhythmic Blue Hydrangea,,,,,,,,,,,,,,,,,
GA,074582S,HYD MAC LD R STARLIGHT PP20019,"Hydrangea	macrophylla 'Lynn' P.P. #20,019, C.B.R.A.F.       ",Let's Dance®  Starlight Bigleaf Hydrangea,,,,,,,,,,,,,,,,,
