,,,Future Plant Availability,,,,,,,,,,,,,,,,,,
,,,For:10/13/14  6:38:24   ,,,,,,,,,,,,,,,,,,
,,,Spring 2015         ,,,,,,,,,,,,,,,,,,
OPRPJ038RA,Rep#:  600009,"Bradley, Craig",,,,,,,,,,,,,,,,,,,
Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,062311,#1,LYSIMACHIA NUMMULARIA AUREA,Lysimachia nummularia 'Aurea'                               ,Golden Creeping Jenny                                       ,Ground cover,PRN,03,, 4.90 ,-,CAN FULL,     , 10 , 3 ,     ,          ,     ,          ,     ,          
GA,06231UT,LittleOne,LYSIMACHIA NUMMULARIA AUREA,Lysimachia nummularia 'Aurea'                               ,Golden Creeping Jenny                                       ,Ground cover,PRN,03,, 3.10 ,,CAN FULL, 3 , 16 ,     , 3 ,04/01/15  ,     ,          ,     ,          
GA,006241,#1,ACHILLEA MILL SUMMER BERRIES,Achillea millefolium 'Summer Berries'                       ,Summer Berries Yarrow                                       ,Mid/late border flowering,PRN,03,, 4.90 ,,CAN FULL, 10 , 10 ,     , 10 ,04/01/15  ,     ,          ,     ,          
OR,056411,#1 STAKED,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,Tropical flowering vine,VIN,06,HIN, 11.25 ,-,3/4 STK, 20 , 10 ,     , 21 ,05/01/15  ,     ,          ,     ,          
OR,050011,#1,AGAPANTHUS BLUE LEAP,Agapanthus 'Blue Leap'                                      ,Blue Leap Lily of the Nile                                  ,Grass-like plant,DCS,07,HIN, 7.00 ,-,2-3 FANS, 40 , 10 ,     , 40 ,05/01/15  , 159 ,06/01/15  ,     ,          
OR,050002,#2,AGAPANTHUS INAPTERUS GRASKOP,Agapanthus inapertus 'Graskop'                              ,Graskop Lily of the Nile                                    ,Grass-like plant,DCS,07,HIN, 16.00 ,-,5-7 FANS, 60 , 5 ," 1,317 "," 1,434 ",05/01/15  ,     ,          ,     ,          
CT,018561,#1,AGASTACHE AUR-HYB TANGO,Agastache aurantiaca 'Tango'                                ,Tango Hummingbird Mint                                      ,Mid/late interm. flowering,PRN,06,, 5.50 ,,,     , 10 ,     , 362 ,04/15/15  , 23 ,04/01/15  ,     ,          
CT,018561S,SuperOne TM,AGASTACHE AUR-HYB TANGO,Agastache aurantiaca 'Tango'                                ,Tango Hummingbird Mint                                      ,Mid/late interm. flowering,PRN,06,, 8.50 ,,,     , 10 ,     , 7 ,01/01/15  ,     ,          ,     ,          
CA,068771S,SuperOne TM,AGAVE FILIFERA,Agave filifera ssp. filifera                                ,Thread Agave                                                ,Succulent/cactus/yucca,CAC,07,, 11.25 ,-,CAN FULL, 10 , 10 , 10 ,     ,          ,     ,          ,     ,          
CA,074172,#2,AGAVE UTAHENSIS SSP UTAHENSIS,Agave utahensis ssp. utahensis                              ,Utah Agave                                                  ,Succulent/cactus/yucca,CAC,06,, 18.75 ,-,8''S, 5 , 5 ,     , 16 ,05/01/15  ,     ,          ,     ,          
GA,058521,#1,MALVA ARBOREUS VAR BIG MOMMA,Malvaviscus drummondii 'Big Momma'                          ,Big Momma Turk's Cap                                        ,Mid/late tall flowering,PRN,07,, 4.90 ,,CAN FULL, 20 , 10 ,     , 35 ,05/01/15  , 581 ,06/01/15  ,     ,          
GA,058531,#1,MELAMPODIUM LEU PLAINS BLKFOOT,Melampodium leucanthum                                      ,Blackfoot Daisy                                             ,Mid/late border flowering,PRN,05,, 4.90 ,,,     , 10 ,     , 774 ,04/15/15  ,     ,          ,     ,          
