Location,New Plant / Size,Item,Size,Plant Name,Common Name,CAT,Zone,2015 List Price,2015 NET PRICE,Casino Interior/Container,Casino Exterior,Early Spring,Mid Spring,Late Spring,Summer,ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND 
QTY READY DATE",DESCRIPTION / NOTES
CA,    ,013562,#2,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                    ,DCS,05,14.50,13.05,X,,,,X,X,,, 315 ,03/01/15  ,
CA,,074411S,SuperOne TM,BUDDLEJA LO & BEHOLD® BLUE CHIP PP19991,Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,05,10.50,9.45,X,,,,X,X,,, 712 ,04/01/15  ,
CA,,080811S,SuperOne TM,BUDDLEJA LO & BEHOLD® ICE CHIP PPAF,Ice Chip Summer Lilac                                       ,DCS,05,10.50,9.45,X,,,,X,X,,191,,,
CA,,080812S,SuperTwo,BUDDLEJA LO & BEHOLD® ICE CHIP PPAF,Ice Chip Summer Lilac                                       ,DCS,05,17.00,15.30,X,,,,X,X,,, 222 ,03/01/15  ,
CA,,077391S,SuperOne TM,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                     ,DCS,05,9.50,8.55,X,,,,X,X,,582,,,
CA,,077392S,SuperTwo,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                     ,DCS,05,17.00,15.30,X,,,,X,X,,297,,,
CA,,077395,#5,BUDDLEJA MISS MOLLY PPAF,Miss Molly Summer Lilac                                     ,DCS,05,22.50,20.25,X,,,,X,X,,, 31 ,05/01/15  ,
CA,,074401S,SuperOne TM,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                      ,DCS,05,9.50,8.55,X,,,,X,X,,, 6 ,04/01/15  ,
CA,,074402S,SuperTwo,BUDDLEJA X MISS RUBY PPAF,Miss Ruby Summer Lilac                                      ,DCS,05,17.00,15.30,X,,,,X,X,,, 17 ,04/01/15  ,
CA,    ,013835GL,#5 GLOBE,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                          ,EVS,05,37.00,33.30,X,,,X,X,X,,, 18 ,04/01/15  ,
CA,    ,025291,#1,CALLIANDRA ERIOPHYLLA,Pink Fairy Duster                                           ,EVS,07,6.50,5.85,,X,,X,,,,, 381 ,04/01/15  ,
CA,    ,025292,#2,CALLIANDRA ERIOPHYLLA,Pink Fairy Duster                                           ,EVS,07,15.00,13.50,,X,,X,,,,, 80 ,04/01/15  ,
CA,X,046765,#5,CALLISTEM SCARLET TORCH™ P23848,Scarlet Torch™  Bottlebrush,EVS,08,23.50,21.15,X,X,X,X,,,,130,,,
CA,    ,014402,#2,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,15.00,13.50,X,X,X,X,,,,414,,,
CA,    ,014405,#5,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,22.00,19.80,X,X,X,X,,,,370, 342 ,04/01/15  ,
OR,    ,022361,#1,CAMPANULA PORTENSCHLAGIANA,Dalmatian Bellflower                                        ,PRN,04,4.90,4.41,X,,,,X,X,,369,     ,          ,
OR,    ,032431,#1,CAMPANULA PUN CHERRY BELLS,Cherry Bells Bellflower                                     ,PRN,04,5.50,4.95,X,,,,X,X,,104, 201 ,04/01/15  ,
OR,    ,038611,#1,CAMPANULA SAMANTHA,Samantha Bellflower                                         ,PRN,05,5.50,4.95,X,,,,X,X,,1094,     ,          ,"Dwarf, compact variety, a real show stopper, with violet-tipped flowers that unlike other bellflowers face up and out. Heavy bloomer"
CA,    ,022715,#5 STAKED,CAMPSIS BALBOA SUNSET® ,Balboa Sunset®  Trumpet Creeper,VIN,04,26.00,23.40,X,X,,,X,X,,928,,,
CA,    ,022385,#5 STAKED,CAMPSIS FLAVA,Yellow Trumpet Creeper                                      ,VIN,04,26.00,23.40,X,X,,,X,X,,668,,,
CA,    ,022551,#1 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                             ,VIN,04,7.50,6.75,X,X,,,X,X,,748,,,
CA,,022482,#2,CANNA TROPICANNA™ PP10569,Tropicanna®  Canna,PRN,07,19.50,17.55,X,X,,X,X,,,, 521 ,03/01/15  ,
CA,    ,017412,#2,CANNA TROPICANNA GOLD™ P13809,Tropicanna®  Gold Canna,PRN,07,19.50,17.55,X,X,,X,X,,,120,,,
CA,,092892,#2,CARYOPTERIS CLA KOR BLUE BALLOON® ,Blue Balloon®  Bluebeard,DCS,05,15.25,13.73,X,,,,X,X,,, 436 ,04/01/15  ,"Develops low branching, and when in color looks like a blue balloon. The green foliage makes the blue flowers really stand out"
