Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code
GA,00659UT,COREOPSIS GRAND 'HELIOT',Coreopsis grandiflora 'Heliot'                              ,Heliot Largeflower Tickseed                                 ,Mid/late border flowering,PRN,04,
GA,05934UT,COREOPSIS GRAND RISING SUN,Coreopsis grandiflora 'Rising Sun'                          ,Rising Sun Tickseed                                         ,Mid/late border flowering,PRN,04,OLD
GA,048081,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,
GA,073891,COREOPSIS PINK LEMNADE PP18265,"Coreopsis 'Pink Lemonade' P.P. #18,265                      ",Pink Lemonade Tickseed                                      ,Mid/late border flowering,PRN,09,TNN
GA,072851,COREOPSIS RUBY FROST PP21758,Coreopsis 'Ruby Frost' P.P.#21758                           ,Ruby Frost Tickseed                                         ,Mid/late border flowering,PRN,06,TNN
OR,058261,COREOPSIS VER ROUTE 66 PP20609,"Coreopsis verticillata 'Route 66' P.P.# 20,609              ",Route 66 Tickseed (Cruizin' Series)                         ,Mid/late border flowering,PRN,05,
CT,027962,COREOPSIS VERT MOONBEAM,Coreopsis verticillata 'Moonbeam'                           ,Moonbeam Threadleaf Tickseed                                ,Mid/late border flowering,PRN,03,
OR,027971,COREOPSIS VERT ZAGREB,Coreopsis verticillata 'Zagreb'                             ,Zagreb Threadleaf Tickseed                                  ,Mid/late border flowering,PRN,03,
GA,017361,COREOPSIS X TQUILA SNRIS P9875,Coreopsis x 'Tequila Sunrise' P.P.# 9875                    ,Tequila Sunrise Tickseed                                    ,Mid/late border flowering,PRN,03,
GA,030121,CUPHEA HYS ITSY BITSY R ROSE,Cuphea hyssopifolia 'MonTroy'                               ,Itsy Bitsy®  Rose False Heather,Evergreen sumr flower'g shrub,PRN,09,STR
CA,033711,CUPHEA HYS RIVERDENE GOLD PPAF,Cuphea x hyssopifolia 'Riverdene Gold' P.P.A.F.             ,Riverdene Gold False Heather                                ,Evergreen sumr flower'g shrub,PRN,09,OLD
GA,030491,CUPHEA HYSSOPIFOLIA,Cuphea hyssopifolia                                         ,Mexican Heather                                             ,Evergreen sumr flower'g shrub,PRN,08,
CA,032891,CUPHEA LLAVEA,Cuphea llavea                                               ,Bat Face Cuphea                                             ,Evergreen sumr flower'g shrub,PRN,09,
CA,093881,CUPHEA LLAVEA CHA CHA PPAF,Cuphea llavea 'Cha Cha'                                     ,Cha Cha Bat Face Cuphea                                     ,Evergreen sumr flower'g shrub,PRN,08,PHI
CA,093891,CUPHEA LLAVEA RUMBA PP17213,"Cuphea llavea 'Flamenco Rumba' P.P. #17,213                 ",Flamenco Rumba Cuphea                                       ,Evergreen sumr flower'g shrub,PRN,08,PHI
CA,084121,CUPHEA MICROPETALA,Cuphea micropetala                                          ,Candy Corn Plant                                            ,Evergreen sumr flower'g shrub,PRN,08,
GA,00459UT,DELPHINIUM GRAND BLUE MIRROR,Delphinium grandiflorum 'Blue Mirror'                       ,Blue Mirror Delphinium                                      ,Mid/late tall flowering,PRN,03,
OR,067631,DIANTHUS BAR OESCHBERG,Dianthus barbatus 'Oeschberg'                               ,Oeschberg Sweet William                                     ,Mid spring border flowering,PRN,04,
CT,029701,DIANTHUS BRILLIANT STAR P13025,Dianthus 'Brilliant Star' P.P.# 13025                       ,Brilliant Star Maiden Pink                                  ,Mid spring border flowering,PRN,04,
CA,090221,DIANTHUS COSMIC TM PK SWRL PAF,Dianthus x 'Pink Swirl'                                     ,Cosmic™  Pink Swirl Dianthus,Mid spring border flowering,PRN,06,
CA,090211,DIANTHUS COSMIC TM RD SWRL PAF,Dianthus x 'Red Swirl' P.P.A.F.                             ,Cosmic™  Red Swirl Dianthus,Mid spring border flowering,PRN,06,
GA,05968UT,DIANTHUS FIRE STAR PP14895,Dianthus 'Fire Star' P.P.# 14895                            ,Fire Star Maiden Pink                                       ,Mid spring border flowering,PRN,05,
OR,067731,DIANTHUS FIRST LOVE R,Dianthus First Love® ,First Love®  Cheddar Pink,Mid spring border flowering,PRN,03,PLC
OR,031331,DIANTHUS FROSTY FIRE,Dianthus x 'Frosty Fire'                                    ,Frosty Fire Cheddar Pink                                    ,Mid spring border flowering,PRN,02,
