Loc,Item,Description,Common Name,,,,,,,,,,,,,
GA,056953PT,LANTANA CONFETTI TM,Confetti™  Spreading Lantana                                                                        ,,,,,,,,,,,,,
GA,009093PT,LANTANA NEW GOLD,New Gold Lantana                                                                                    ,,,,,,,,,,,,,
OR,009161,LAVANDULA ANG HIDCOTE,Hidcote Blue English Lavender                                                                       ,,,,,,,,,,,,,
CA,057311,LAVANDULA ANG MUNSTEAD,Munstead Lavender                                                                                   ,,,,,,,,,,,,,
CA,028481,LAVANDULA THUMBELINA LE P15231,Thumbelina Leigh English Lavender                                                                   ,,,,,,,,,,,,,
OR,060321,LEUCOSCEPTRUM JAP GOLDEN ANGEL,Golden Angel Japanese Shrub Mint                                                                    ,,,,,,,,,,,,,
OR,032182,LIGULARIA BR M CRAWFORD P16123,Brit Marie Crawford Ligularia                                                                       ,,,,,,,,,,,,,
GA,062311,LYSIMACHIA NUMMULARIA AUREA,Golden Creeping Jenny                                                                               ,,,,,,,,,,,,,
GA,081741,NEPETA NERVOSA PINK CAT,Pink Cat Catmint                                                                                    ,,,,,,,,,,,,,
OR,063351,PACHYSANDRA TERM GREEN SHEEN,Green Sheen Japanese Spurge                                                                         ,,,,,,,,,,,,,
CA,063351,PACHYSANDRA TERM GREEN SHEEN,Green Sheen Japanese Spurge                                                                         ,,,,,,,,,,,,,
OR,047085,PAEONIA ITOH KEIKO TM (PK D D),Keiko™ (Adored) Itoh Peony                                                                          ,,,,,,,,,,,,,
OR,052605,PAEONIA ITOH MISAKA TM PP22192,Misaka™  (Beautiful Blossom) Itoh Peony                                                             ,,,,,,,,,,,,,
OR,068585,PAEONIA ITOH MORNING LILAC,Morning Lilac Itoh Peony                                                                            ,,,,,,,,,,,,,
OR,047075,PAEONIA ITOH YUMI TM PAF (YLW),Yumi™  (Beauty) Itoh Peony                                                                          ,,,,,,,,,,,,,
GA,063951,PENSTEMON DIGITALIS HUSKER RED,Husker Red Penstemon                                                                                ,,,,,,,,,,,,,
OR,029471,PENSTEMON X MEX RED ROCKS R,Red Rocks®  Penstemon                                                                               ,,,,,,,,,,,,,
OR,067781,PENSTEMON X PIKES PEAK PURPL R,Pikes Peak Purple®  Penstemon                                                                       ,,,,,,,,,,,,,
GA,064211,PEROVSKIA ATRIPLICIFOLIA,Russian Sage                                                                                        ,,,,,,,,,,,,,
OR,064341,PHLOX SUB CANDY STRIPE,Candy Stripe Creeping Phlox                                                                         ,,,,,,,,,,,,,
GA,064341,PHLOX SUB CANDY STRIPE,Candy Stripe Creeping Phlox                                                                         ,,,,,,,,,,,,,
OR,064451,PHLOX SUB EMERALD BLUE,Emerald Blue Creeping Phlox                                                                         ,,,,,,,,,,,,,
GA,064451,PHLOX SUB EMERALD BLUE,Emerald Blue Creeping Phlox                                                                         ,,,,,,,,,,,,,
OR,064601,PHLOX SUB RED WINGS,Red Wings Creeping Phlox                                                                            ,,,,,,,,,,,,,
GA,064601,PHLOX SUB RED WINGS,Red Wings Creeping Phlox                                                                            ,,,,,,,,,,,,,
GA,036561,POLE STAIRWAY TO HEAVEN P15187,Stairway To Heaven Jacob's Ladder                                                                   ,,,,,,,,,,,,,
GA,065361,POLEMONIUM BRISE D'ANJOU P9781,Variegated Jacob's Ladder                                                                           ,,,,,,,,,,,,,
OR,015161,POLYGONATUM FAL VARIEGATUM,Variegated Solomon's Seal                                                                           ,,,,,,,,,,,,,
OR,084701,PULMONARIA DE VROOMAN'S PRIDE,DeVrooman's Pride Lungwort                                                                          ,,,,,,,,,,,,,
OR,011061,PULMONARIA RASP SPLASH PP12138,Raspberry Splash Lungwort                                                                           ,,,,,,,,,,,,,
OR,032232,RODGERSIA X FIREWORKS PPAF,Fireworks Rodgersia                                                                                 ,,,,,,,,,,,,,
GA,071111,RUDBECKIA ERLY BRD GLD PP20286,Early Bird Gold Gloriosa Daisy                                                                      ,,,,,,,,,,,,,
GA,071011,RUDBECKIA FULGIDA GOLDSTURM,Goldsturm Black Eyed Susan                                                                          ,,,,,,,,,,,,,
GA,070261,SALVIA X SYL MAY NIGHT,May Night Sage                                                                                      ,,,,,,,,,,,,,
GA,012111,STACHYS SILVER CARPET,Silver Carpet Lamb's Ear                                                                            ,,,,,,,,,,,,,
GA,012121,STOKESIA LAEVIS KLAUS JELITTO,Klaus Jelitto Stoke's Aster                                                                         ,,,,,,,,,,,,,
GA,06585UT,VERBENA BONARIENSIS,Tall Verbena                                                                                        ,,,,,,,,,,,,,
GA,017391,VERONICA ROYAL CANDLES PP18932,Royal Candles Speedwell                                                                             ,,,,,,,,,,,,,
OR,076131,VINCA MINOR BOWLES',Bowles' Common Periwinkle                                                                           ,,,,,,,,,,,,,
OR,07613UT,VINCA MINOR BOWLES',Bowles' Common Periwinkle                                                                           ,,,,,,,,,,,,,
