Loc,Item,Size,Description,,,,,,,,,,,,,,,
OR,075032S,SuperTwo,SPIRAEA DBLPLAY R BIGBANG PPAF,,,,,,,,,,,,,,,
OR,071805,#5,SYRINGA V ANGEL WHITE,,,,,,,,,,,,,,,
OR,071905,#5,SYRINGA V LUDWIG SPAETH,,,,,,,,,,,,,,,
OR,072165,#5,SYRINGA V SENSATION,,,,,,,,,,,,,,,
CA,012542,#2,TECOMA STANS GOLD STAR,,,,,,,,,,,,,,,
OR,012595,#5,THUJA GREEN GIANT,,,,,,,,,,,,,,,
OR,073015,#5,THUJA OC EMERALD,,,,,,,,,,,,,,,
OR,047442,#2,THUJA OC FIRE CHIEF TM P19009,,,,,,,,,,,,,,,
OR,031195,#5,THUJA PLICATA GREEN SPORT,,,,,,,,,,,,,,,
CA,070051ST,#1 STAKED,TRACH JASMINOIDES,,,,,,,,,,,,,,,
CA,070052ST,#2 STAKED,TRACH JASMINOIDES,,,,,,,,,,,,,,,
CA,070055ST,#5 STAKED,TRACH JASMINOIDES,,,,,,,,,,,,,,,
OR,073285,#5,TSUGA CAN PENDULA,,,,,,,,,,,,,,,
OR,056232,#2,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,,,,,,,
OR,073975,#5,VIB PLI T SUMMER SNOWFLAKE,,,,,,,,,,,,,,,
OR,076131,#1,VINCA MINOR BOWLES',,,,,,,,,,,,,,,
OR,07613UT,LittleOne,VINCA MINOR BOWLES',,,,,,,,,,,,,,,
CA,076221,#1 STAKED,VITIS LAB EASTERN CONCORD,,,,,,,,,,,,,,,
GA,076562S,SuperTwo,WEIGELA FL WINE&ROSES R P10772,,,,,,,,,,,,,,,
OR,076565,#5,WEIGELA FL WINE&ROSES R P10772,,,,,,,,,,,,,,,
OR,076815,#5 STAKED,WISTERIA FRU AMETHYST FALLS,,,,,,,,,,,,,,,
CA,077232,#2,YUCCA FIL GOLDEN SWORD,,,,,,,,,,,,,,,
CA,077222,#2,YUCCA FIL IVORY TOWER,,,,,,,,,,,,,,,
,,Totals:,,,,,,,,,,,,,,,,
