Loc,Item Number,Plant Category,Plant Name
OR,38502,CON,MICROBIOTA FUZZBALL TM P20012
CA,060085TR,TRE,OLEA HAAS IMP MANZANILLO (FRT)
CA,06304EPT,EVS,OLEA LITTLE OLLIE R
GA,63111,GRS,OPHIOPOGON EBONY KNIGHT TM
CT,404962,PRN,PAEONIA ITOH FIRST ARRIVAL
CT,81072,PRN,PAEONIA OFF RUBRA PLENA
OR,24242,PRN,PAEONIA X BLAZE (RED)
CT,19522,PRN,PAEONIA X BOWL OF BEAUTY (PK)
CT,404932,PRN,PAEONIA X DUCHESSE DE NEMOUR
CT,63572,PRN,PAEONIA X KARL ROSENFIELD(RED)
CT,404952,PRN,PAEONIA X PINK HAWAIAN CORAL
CT,39662,PRN,PAEONIA X PRIMEVERE (WHITE)
OR,46072,PRN,PAEONIA X RASPBERRY SUNDAE(PK)
CT,46072,PRN,PAEONIA X RASPBERRY SUNDAE(PK)
CA,2581,VIN,PARTH TRI GREEN SHOWERS
CA,2585,VIN,PARTH TRI GREEN SHOWERS
CT,64451,PRN,PHLOX SUB EMERALD BLUE
CT,91041,PRN,PHLOX SUB EMERALD PINK
CT,62561,PRN,PHLOX SUBULATA FORT HILLS
CT,029943S,DCS,PHYSOCARPUS SUMR WINE R P14821
OR,64552,CON,PICEA ABIES LITTLE GEM
OR,64582,CON,PICEA ABIES PUMILA
CT,06462M,CON,PICEA GL CONICA
OR,64621,CON,PICEA GL CONICA
OR,64622,CON,PICEA GL CONICA
OR,064622P3,CON,PICEA GL CONICA
CT,64625,CON,PICEA GL CONICA
OR,064625SP,CON,PICEA GL CONICA
OR,06478M,CON,PICEA PUN GLAUCA FAT ALBERT
OR,64785,CON,PICEA PUN GLAUCA FAT ALBERT
OR,06469M,CON,PICEA PUN GLOBOSA
OR,64695,CON,PICEA PUN GLOBOSA
OR,06476M,CON,PICEA PUN MOERHEIM
OR,65162,EVS,PIERIS J LITTLE HEATH
OR,49492,EVS,PIERIS J TIKI
OR,65455,CON,PINUS MUGO PUMILIO
GA,66371,EVS,PLUMBAGO ROYAL CAPE R
GA,66375,EVS,PLUMBAGO ROYAL CAPE R
GA,066375PT,EVS,PLUMBAGO ROYAL CAPE R
GA,66361,EVS,PLUMBAGO WHITE CAPE R PP13953
CT,405411,PRN,POLYGONATUM MULTIFLORUM
OR,86652,DCS,POTENTILLA PINK BEAUTY P9874
OR,66742,DCS,POTENTILLA SUNSET
OR,67172,EVS,PRUNUS LAUR SCHIPKAENSIS
OR,67175,EVS,PRUNUS LAUR SCHIPKAENSIS
OR,67055,EVS,PRUNUS LAUROCERASUS
CT,407507,TRE,"PRUNUS X SNOW FOUNTAIN TM 36"""
CA,68012,DCS,PUNICA GR ANGEL RED R PP16578
CA,67701,EVS,PYRACANTHA ANG YUKON BELLE R
GA,36292,ROS,ROSA FLWR CAR R AMBER PPAF
CA,036295PT,ROS,ROSA FLWR CAR R AMBER PPAF
