Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,035795,#5,FAGUS SYL RIVERSII,River's Purple European Beech                                                                       ,TRE,04,
OR,020515,#5,FAGUS SYL ROHAN OBELISK(RED OB,Red Obelisk European Beech                                                                          ,TRE,04,
CA,018762,#2,FERN-ATHYRIUM GHOST,Ghost Fern                                                                                          ,FRN,04,
OR,03612UT,LittleOne,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,FRN,05,
CA,036121,#1,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,FRN,05,
OR,03626UT,LittleOne,FERN-DRYOPTERIS FELIX-MAS ROB,Robust Male Fern                                                                                    ,FRN,04,
OR,084912,#2,FERN-POLYSTICHUM MUNITUM,Western Sword Fern                                                                                  ,FRN,05,
OR,077431S,SuperOne TM,FORS X SHOW OFF TM STARLT PAF,Show Off™  Starlet Forsythia                                                                        ,DCS,04,
OR,017542,#2,FORSYTHIA X MAGICAL R GOLD,Magical®  Gold Forsythia                                                                            ,DCS,05,
OR,06835UT,LittleOne,FRAGARIA ALBION R PP16228,Albion Strawberry                                                                                   ,PRN,03,
CA,068351,#1,FRAGARIA ALBION R PP16228,Albion Strawberry                                                                                   ,PRN,03,
CA,412651,#1,GAILLARDIA SUNSET CANDY PPAF,Sunset Candy Blanket Flower                                                                         ,PRN,05,
CA,408751,#1,GAILLARDIA SUNSET FLASH PPAF,Sunset Flash Blanket Flower                                                                         ,PRN,05,
OR,408801,#1,GAILLARDIA SUNSET SNAPPY PPAF,Sunset Snappy Blanket Flower                                                                        ,PRN,05,
OR,017611,#1,GAULTHERIA RED BARON,Red Baron Creeping Wintergreen                                                                      ,EVS,03,
CA,058861,#1,GAURA L GEYSER WHITE,Geyser White Gaura                                                                                  ,PRN,05,
OR,086711,#1,GAURA L PINK LADY PP17494,Pink Lady Gaura                                                                                     ,PRN,05,
CA,082571,#1,GAZANIA KREBSIANA TANAGER R,Tanager®  Terracotta Gazania                                                                        ,PRN,06,
OR,048591,#1,GAZANIA LIN COLORADO GOLD R,Colorado Gold®  Treasure Flower                                                                     ,PRN,04,
