Loc,Item,Size,Description,Botanical Name,Common Name,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Net Price,Sale Price,AVL Flag,,
OR,002591,#1 STAKED,AKEBIA QUINATA,Akebia quinata                                              ,Fiveleaf Akebia                                             ,05,LIGHT BUD & BLOOM,FULL STK,     ,     , 47 , 47 , 10 , 7.50 , 5.78 ,          ,I,,
OR,002561,#1 STAKED,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,05,LIGHT BUD & BLOOM,FULL STK, 2 ,     , 71 , 73 , 10 , 7.50 , 5.78 ,          , ,,
OR,002565,#5 STAKED,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,05,BUDS & BLOOMS,48''FULL STK, 316 ,     , 25 , 316 , 5 , 26.00 , 20.02 ,          , ,,
GA,002565,#5 STAKED,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,05,BUDS & BLOOMS,"48""H", 283 ,     ,     , 283 , 5 , 26.00 , 20.02 ,          ,I,,
CA,001999,#15 TREE,ALBIZIA J SUMMER CHOC PP13822,"Albizia julibrissin 'Summer Chocolate' P.P.# 13,822         ",Summer Chocolate Mimosa Tree                                ,07,-,"64""H",     ,     , 1 , 1 , 1 , 95.00 , 73.15 ,          , ,,
OR,04868UT,LittleOne,ALCHEMILLA ALPINA,Alchemilla alpina                                           ,Mountain Lady's Mantle                                      ,03,CUT BACK,., 267 ,     ,     , 267 , 16 , 2.95 , 2.27 ,          , ,,
CA,063801,#1,ALOE DOROTHEAE,Aloe dorotheae                                              ,Retro Succulents®  Sunset™  Aloe,10,-,"4""S", 231 ,     ,     , 231 , 10 , 7.00 , 5.39 ,          , ,,
CA,063802,#2,ALOE DOROTHEAE,Aloe dorotheae                                              ,Retro Succulents®  Sunset™  Aloe,10,-,"9""S", 298 ,     , 50 , 348 , 5 , 17.75 , 13.67 ,          , ,,
CA,077781,#1,ALOE HYBRID GUIDO TM,Aloe hybrid                                                 ,Retro Succulents®  Guido™  Aloe,09,-,"6""S", 185 ,     , 2 , 185 , 10 , 8.00 , 6.16 ,          , ,,
CA,077791,#1,ALOE HYBRID SAL TM,Aloe hybid                                                  ,Retro Succulents®  Sal™  Aloe,09,SPIKES,6''S, 365 ,     ,     , 365 , 10 , 8.00 , 6.16 ,          ,I,,
CA,064222,#2,ALOE RUDIKOPPE,Aloe Rudikoppe                                              ,Little Red Riding Hood Aloe                                 ,09,-,"8""H - 8""S", 664 ,     ,     , 664 , 5 , 17.75 , 13.67 ,          , ,,
CA,096502,#2,ALST INTICANCHA R MACHU,Alstroemeria x 'Tesmach'                                    ,Inticancha®  Machu Peruvian Lily,08,-,CAN FULL, 112 ,     , 45 , 157 , 5 , 14.00 , 10.78 ,          , ,,
CA,096522,#2,ALST INTICANCHA R NAVAYO,Alstroemeria x 'Tesnavayo'                                  ,Inticancha®  Navayo Peruvian Lily,08,-,CAN FULL, 14 ,     , 59 , 73 , 5 , 14.00 , 10.78 ,          ,I,,
CA,096482,#2,ALST INTICANCHA R PURPLE,Alstroemeria x 'Tesdarklin'                                 ,Inticancha®  Dark Purple Peruvian Lily,08,-,CAN FULL, 5 ,     , 55 , 60 , 5 , 14.00 , 10.78 ,          , ,,
CA,096492,#2,ALST INTICANCHA R SUNLIGHT,Alstroemeria x 'Tessunlight'                                ,Inticancha®  Sunlight Peruvian Lily,08,-,CAN FULL, 5 ,     , 35 , 40 , 5 , 14.00 , 10.78 ,          ,I,,
CA,096512,#2,ALST INTICANCHA R WHT BLSH PNK,Alstroemeria x 'Tesblushin'                                 ,Inticancha®  White Pink Blush Peruvian Lily,08,-,CAN FULL, 85 ,     , 25 , 110 , 5 , 14.00 , 10.78 ,          , ,,
CA,066382,#2,ALST ROCK & ROLL R PP21001,"Alstroemeria 'AlsDun01' PP21,001                            ",Rock & Roll®  Peruvian Lily,08,BUDS,CAN FULL, 33 ,     ,     , 33 , 5 , 14.00 , 10.78 ,          ,I,,
CA,040315PT,#5 PATIO TREE,ALYOGYNE LEON'S PUR DELIGHT TM,Alyogyne huegelii 'MonLeon'                                 ,Leon's Purple Delight™  Lilac Hibiscus,09,BUDS,"15""S", 514 ,     ,     , 514 , 2 , 38.50 , 29.65 ,          , ,,
CA,002425PT,#5 PATIO TREE,ALYOGYNE SANTA CRUZ,Alyogyne huegelii 'Santa Cruz'                              ,Lilac Hibiscus                                              ,09,BUDS,"15""S", 481 ,     ,     , 481 , 2 , 38.50 , 29.65 ,          , ,,
CA,035341,#1,AMSONIA HUBRICHTII,Amsonia hubrichtii                                          ,Arkansas Blue Star                                          ,05,-,CAN FULL, 455 ,     ,     , 455 , 10 , 6.00 , 4.62 ,          , ,,
