Location,Item #,Description,Size,Display, 2015 Price ,USDA Zone,Now Order,Booking
OREGON,019395,PICEA PUN THE BLUES,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,04737M,PICEA PUN THOMPSENII,#10 Squat,CONIFER UPRIGHT, $79.00 ,02,,
OREGON,028561,PICEA PUN WALDBRUNN,#1,CONIFER UPRIGHT, $11.50 ,02,,
OREGON,028565,PICEA PUN WALDBRUNN,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,06542M,PINUS CEM SILVER WHISPERS TM,#10 Squat,CONIFER UPRIGHT, $79.00 ,03,,
OREGON,065425,PINUS CEM SILVER WHISPERS TM,#5,CONIFER UPRIGHT, $41.50 ,03,,
OREGON,06896M,PINUS DENS GOLDEN GHOST,#10 Squat,CONIFER UPRIGHT, $81.00 ,05,,
OREGON,06539M,PINUS FL VANDERWOLFES PYRAMID,#10 Squat,CONIFER UPRIGHT, $81.00 ,04,,
OREGON,065399,PINUS FL VANDERWOLFES PYRAMID,#15,CONIFER UPRIGHT, $137.00 ,04,,
OREGON,065395,PINUS FL VANDERWOLFES PYRAMID,#5,CONIFER UPRIGHT, $41.50 ,04,,
OREGON,064735,PINUS FLEXILIS CESARINI BLUE,#5,CONIFER UPRIGHT, $41.50 ,02,,
OREGON,02154M,PINUS KOR SILVERAY,#10 Squat,CONIFER UPRIGHT, $81.00 ,04,,
OREGON,065555,PINUS LEUCODERMIS,#5,CONIFER UPRIGHT, $25.50 ,04,,
OREGON,01940M,PINUS MONOPHYLLA,#10 Squat,CONIFER UPRIGHT, $89.00 ,05,,
OREGON,06546M,PINUS NIGRA,#10 Squat,CONIFER UPRIGHT, $63.00 ,04,,
OREGON,065465,PINUS NIGRA,#5,CONIFER UPRIGHT, $22.00 ,04,,
OREGON,049135,PINUS NIGRA FRANK,#5,CONIFER UPRIGHT, $41.50 ,05,,
OREGON,01941M,PINUS NIGRA OREGON GREEN,#10 Squat,CONIFER UPRIGHT, $79.00 ,04,,
OREGON,019415,PINUS NIGRA OREGON GREEN,#5,CONIFER UPRIGHT, $41.50 ,04,,
OREGON,025685,PINUS PARV BLUE ANGEL PP14169,#5,CONIFER UPRIGHT, $41.50 ,04,,
OREGON,04642M,PINUS PARVIFLORA GLAUCA NANA,#10 Squat,CONIFER UPRIGHT, $79.00 ,04,,
OREGON,046425,PINUS PARVIFLORA GLAUCA NANA,#5,CONIFER UPRIGHT, $41.50 ,04,,
OREGON,049565,PINUS PARVIFLORA KORU,#5,CONIFER UPRIGHT, $41.50 ,04,,
OREGON,065485,PINUS STROBUS,#5,CONIFER UPRIGHT, $25.50 ,03,,
OREGON,065525,PINUS SYL FRENCH BLUE,#5,CONIFER UPRIGHT, $25.50 ,02,,
OREGON,065665,PINUS T MAJESTIC BEAUTY R,#5,CONIFER UPRIGHT, $41.50 ,05,,
