Loc,Item,Plant Name,CAT,Zone,,,,,,,,
160000,039475,HOSTA ROSEDALE GOLDEN GOOSE,PRN,03,,,,,,,,
160000,403641,HOSTA SO SWEET,PRN,03,,,,,,,,
160000,044671,HOSTA STAINED GLASS PPAF,PRN,03,,,,,,,,
160000,029791,HOSTA STRIPTEASE,PRN,04,,,,,,,,
160000,083971,HOSTA SUM & SUBSTANCE,PRN,04,,,,,,,,
160000,083972,HOSTA SUM & SUBSTANCE,PRN,04,,,,,,,,
160000,083975,HOSTA SUM & SUBSTANCE,PRN,04,,,,,,,,
160000,075161,HOSTA THE RAZOR'S EDGE,PRN,03,,,,,,,,
160000,075162,HOSTA THE RAZOR'S EDGE,PRN,03,,,,,,,,
160000,016301,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN,03,,,,,,,,
160000,016302,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN,03,,,,,,,,
160000,016305,HOSTA TOKUDAMA FLAVOCIRCINALIS,PRN,03,,,,,,,,
160000,041851,HOSTA WIDE BRIM,PRN,03,,,,,,,,
