Item,Size,Plant Name,Botanical Name,Common Name,Category 2
026375,#5 STAKED,CLEM X TOKI,Clematis x 'Toki'                                           ,Toki Clematis                                               ,Clematis
056212,#2 STAKED,CLEM X WESTERPLATTE,Clematis x 'Westerplatte'                                   ,Westerplatte Clematis                                       ,Clematis
038165,#5 STAKED,GELSEMIUM RANKINII,Gelsemium rankinii                                          ,Swamp Jessamine                                             ,Temperate vine
038101,#1 STAKED,GELSEMIUM SEMPERVIRENS,Gelsemium sempervirens                                      ,Carolina Jessamine                                          ,Temperate vine
088395,#5 STAKED,HUMULUS X CRYSTAL,Humulus x 'Crystal'                                         ,Crystal Hop                                                 ,Edible berries/fruit
088402,#2,HUMULUS X NEWPORT,Humulus lupulus 'Newport'                                   ,Newport Common Hop                                          ,Edible berries/fruit
075631,#1 STAKED,HYD INTEG TAIPING SHAN CLIMBNG,Hydrangea integrifolia 'Taiping Shan'                       ,Taiping Shan Evergreen Climbing Hydrangea                   ,Hydrangea
086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,Lonicera periclymenum 'Scentsation' P.P.#16240              ,Scentsation Honeysuckle                                     ,Hardy vine
084395,#5 STAKED,LONICERA PCHES & CREAM PP21839,"Lonicera periclymenum 'Inov 86' P.P.#21,839                 ",Peaches and Cream Honeysuckle                               ,Hardy vine
059275,#5 STAKED,LONICERA X BRO DROPMORE SCARLT,Lonicera x brownii 'Dropmore Scarlet'                       ,Dropmore Scarlet Trumpet Honeysuckle                        ,Hardy vine
071961,#1 STAKED,PARTH HENRYANA,                                                            ,                                                            ,Hardy vine
081525,#5 STAKED,PARTH Q RED WALL TM PPAF,Parthenocissus quinquefolia 'Troki' P.P.A.F.                ,Red Wall™  Virginia Creeper,Hardy vine
002585,#5 STAKED,PARTH TRI GREEN SHOWERS,Parthenocissus tricuspidata 'Green Showers'                 ,Green Showers Boston Ivy                                    ,Hardy vine
