,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,090122BH,BOUG BLUEBERRY ICE,VIN,+,25,-,-,25,25,166,,166,$16.75 ,-,-,,
170000,012662,BOUG GOLD RUSH TM,VIN,+,10,-,-,10,10,493,,493,$17.50 ,-,-,,
170000,013121,BOUG JAMES WALKER,VIN,+,49,-,-,49,49,"1,218",,"1,218",$7.00 ,-,-,,
170000,013125,BOUG JAMES WALKER,VIN,+,5,-,-,5,5,-,4/1/2014,-,$23.00 ,-,-,,
170000,013195,BOUG MARY PALMERS ENCHANTMT,VIN,+,12,-,-,12,-,-,4/1/2014,-,$23.00 ,-,-,,
550000,013265PT,BOUG OO-LA-LA R,VIN,+,50,30,-,20,20,197,4/1/2014,197,$38.50 ,29,-,,
550000,013201,BOUG ORANGE KING,VIN,+,28,10,-,18,-,-,4/1/2014,45,$7.00 ,10,-,,
550000,013205,BOUG ORANGE KING,VIN,+,7,-,-,7,7,30,4/1/2014,30,$23.00 ,-,-,,
550000,013051,BOUG PURPLE QUEEN R,VIN,+,68,10,-,58,58,835,4/1/2014,835,$7.50 ,20,-,,
550000,013051BH,BOUG PURPLE QUEEN R,VIN,+,13,-,-,13,-,-,4/1/2014,-,$6.75 ,-,-,,
170000,013052BH,BOUG PURPLE QUEEN R,VIN,+,5,-,-,5,-,-,4/15/2014,201,$16.75 ,-,-,,
550000,013052BH,BOUG PURPLE QUEEN R,VIN,+,50,25,-,25,-,-,2/22/2014,93,$16.75 ,36,-,,
550000,013055,BOUG PURPLE QUEEN R,VIN,+,71,25,-,46,-,-,4/1/2014,-,$23.00 ,37,-,,
550000,013055BH,BOUG PURPLE QUEEN R,VIN,+,21,-,-,21,-,-,2/22/2014,78,$21.50 ,-,-,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,+,16,5,-,11,11,266,,266,$38.50 ,21,-,,
550000,013055PT,BOUG PURPLE QUEEN R,VIN,+,75,49,-,26,26,31,2/15/2014,262,$38.50 ,29,-,,
550000,013211,BOUG RASPBERRY ICE,VIN,+,25,25,-,-,-,"1,371",4/1/2014,"1,371",$7.00 ,20,-,,
550000,013215,BOUG RASPBERRY ICE,VIN,+,25,15,-,10,10,632,4/1/2014,632,$23.00 ,10,-,,
550000,013215PT,BOUG RASPBERRY ICE,VIN,+,15,4,-,11,-,-,4/1/2014,-,$38.50 ,13,-,,
170000,013251,BOUG SCARLETT OHARA(SN DGO RED,VIN,+,20,-,-,20,20,500,4/15/2014,500,$7.00 ,-,-,,
170000,013255,BOUG SCARLETT OHARA(SN DGO RED,VIN,+,15,-,-,15,-,-,4/1/2014,430,$23.00 ,-,-,,
170000,013025,BOUG TAHITIAN DAWN R,VIN,+,47,-,-,47,47,2,4/1/2014,2,$23.00 ,-,-,,
170000,090141BH,BOUG YANI'S DELIGHT,VIN,+,10,-,-,10,10,-,,-,$6.75 ,-,-,,
170000,090142BH,BOUG YANI'S DELIGHT,VIN,+,5,-,-,5,-,-,3/15/2014,-,$16.75 ,-,-,,
170000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,+,20,20,-,-,-,88,3/15/2014,88,$9.75 ,-,-,,
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991,DCS,+,27,27,-,-,-,-,4/1/2014,24,$9.75 ,40,-,,
170000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,+,39,-,-,39,-,-,3/15/2014,109,$16.00 ,42,-,,
550000,074412S,BUD LO&BEHLD R BLU CHP PP19991,DCS,+,127,50,-,77,-,-,4/1/2014,94,$16.00 ,15,-,,
170000,074415,BUD LO&BEHLD R BLU CHP PP19991,DCS,+,38,5,-,33,33,-,,-,$24.00 ,5,-,,
550000,074415,BUD LO&BEHLD R BLU CHP PP19991,DCS,+,21,-,-,21,-,-,4/1/2014,-,$24.00 ,5,-,,
170000,080811S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,+,7,7,-,-,-,-,3/15/2014,155,$9.75 ,13,-,,
160000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,+,4,-,-,4,-,-,,-,$16.00 ,-,-,,
170000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,+,48,-,-,48,-,-,3/15/2014,91,$16.00 ,39,-,,
550000,080812S,BUD LO&BEHLD R ICE CHIP PPAF,DCS,+,79,20,-,59,-,-,4/4/2014,11,$16.00 ,5,-,,
170000,080791S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,+,8,8,-,-,-,-,3/15/2014,-,$9.75 ,20,-,,
160000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,+,4,-,-,4,-,-,,-,$16.00 ,-,-,,
170000,080792S,BUD LO&BEHLD R LILAC CHIP PPAF,DCS,+,29,-,-,29,-,-,3/15/2014,54,$16.00 ,37,-,,
