Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2014 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,    ,035382,#2,BRUNNERA MAC JACK FROST P13859,Brunnera macrophylla 'Jack Frost' P.P.# 13859               ,Jack Frost Siberian Bugloss                                 ,Shade foliage/flower,PRN,03,, 6.95 ,,,     , 5 ,     , 203 ,04/15/14  ,     ,          ,     ,          
CT,    ,401171S,SuperOne TM,BRUNNERA MAC PURE OF HEART,                                                            ,                                                            ,Shade foliage/flower,PRN,03,, 6.95 ,,,     , 10 ,     , 26 ,04/15/14  ,     ,          ,     ,          
CT,    ,022351,#1,CAMPANULA CAR DEEP BLUE CLIPS,Campanula carpatica 'Deep Blue Clips'                       ,Deep Blue Clips Bellflower                                  ,Mid/late border flowering,PRN,04,, 4.95 ,,,     , 10 ,     , 501 ,04/15/14  ,     ,          ,     ,          
CT,    ,40139UT,LittleOne,CAMPANULA POR MISS MELANIE,                                                            ,                                                            ,Mid/late border flowering,PRN,05,, 2.50 ,,,     , 16 ,     , 389 ,04/01/14  ,     ,          ,     ,          
CT,    ,401381S,SuperOne TM,CAMPANULA RINGSABELL INDIGO BL,                                                            ,                                                            ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 10 ,     , 132 ,04/15/14  ,     ,          ,     ,          
CT,    ,401401S,SuperOne TM,CAMPANULA RINGSABELL MLBRY RS,                                                            ,                                                            ,Mid/late border flowering,PRN,05,, 6.95 ,,,     , 10 , 6 , 146 ,04/15/14  ,     ,          ,     ,          
CT,    ,401712,#2,CANNA X GEN RA,                                                            ,                                                            ,Tropical perennial,PRN,08,, 8.50 ,,,     , 5 ,     , 99 ,05/01/14  ,     ,          ,     ,          
CT,    ,023481,#1,CERATOSTIGMA PLUMBAGINOIDES,Ceratostigma plumbaginoides                                 ,Dwarf Plumbago                                              ,Mid/late interm. flowering,PRN,05,, 4.95 ,,,     , 10 ,     , 596 ,04/15/14  ,     ,          ,     ,          
CT,    ,404471,#1,CHRY (LEUCA) DASY MY TM P21914,                                                            ,                                                            ,Mid spring interm. flowering,PRN,05,, 5.50 ,,,     , 10 ,     , 28 ,04/15/14  ,     ,          ,     ,          
CT,    ,404501,#1,CHRY (LEUCA) X SILVER PRINCESS,                                                            ,                                                            ,Mid spring interm. flowering,PRN,05,, 4.95 ,,,     , 10 ,     , 147 ,04/15/14  ,     ,          ,     ,          
CT,    ,404522,#2,CHRY (LEUCA) X SUP MONTAUK,                                                            ,                                                            ,Mid spring interm. flowering,PRN,05,, 6.95 ,,,     , 5 ,     , 488 ,05/01/14  ,     ,          ,     ,          
CT,    ,40159UT,LittleOne,CHRYS (LEUCANTH) X FREAK PPAF,                                                            ,                                                            ,Mid spring interm. flowering,PRN,05,, 2.50 ,,,     , 16 ,     , 494 ,04/15/14  ,     ,          ,     ,          
CT,    ,023021,#1,CHRYS (LEUCANTH) X SUP BECKY,Chrysanthemum x superbum 'Becky'                            ,Becky Shasta Daisy                                          ,Mid spring interm. flowering,PRN,05,, 4.95 ,,,     , 10 ,     , 900 ,04/15/14  ,     ,          ,     ,          
CT,    ,026611,#1,CHRYS (LEUCANTH) X SUP CRAZY,                                                            ,                                                            ,Mid spring interm. flowering,PRN,05,, 4.95 ,,,     , 10 ,     , 479 ,04/15/14  ,     ,          ,     ,          
CT,    ,02661UT,LittleOne,CHRYS (LEUCANTH) X SUP CRAZY,                                                            ,                                                            ,Mid spring interm. flowering,PRN,05,, 2.50 ,,,     , 16 ,     , 357 ,04/15/14  ,     ,          ,     ,          
CT,    ,004221,#1,CHRYS (LEUCANTH) X SUP SNOWCAP,Chrysanthemum x superbum 'Snowcap' (Leucanthemum)           ,Snowcap Shasta Daisy                                        ,Mid spring interm. flowering,PRN,05,, 4.95 ,,,     , 10 ,     ," 1,240 ",04/15/14  ,     ,          ,     ,          
CT,    ,004222,#2,CHRYS (LEUCANTH) X SUP SNOWCAP,Chrysanthemum x superbum 'Snowcap' (Leucanthemum)           ,Snowcap Shasta Daisy                                        ,Mid spring interm. flowering,PRN,05,, 6.95 ,,,     , 5 ,     , 134 ,03/15/14  ,     ,          ,     ,          
CT,    ,40182UT,LittleOne,CHRYSOGONIUM VIR PIERRE,                                                            ,                                                            ,Mid spring border flowering,PRN,05,, 2.50 ,,,     , 16 ,     , 271 ,04/15/14  ,     ,          ,     ,          
CT,    ,401863,#3,COLOCASIA HYB BIKINI-TINI,                                                            ,                                                            ,Tropical perennial,PRN,07,, 14.50 ,,,     , 5 ,     , 73 ,05/01/14  , 275 ,06/15/14  ,     ,          
CT,2013,088891S,SuperOne TM,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,PRN,05,SBN, 7.95 ,,,     , 10 , 6 ," 1,005 ",04/15/14  ,     ,          ,     ,          
CT,    ,401911S,SuperOne TM,COREOPSIS DAZZLESTAR PPAF,                                                            ,                                                            ,Mid/late border flowering,PRN,03,, 6.95 ,,,     , 10 ,     , 595 ,04/15/14  ,     ,          ,     ,          
CT,    ,087621,#1,COREOPSIS GRAND SUNRAY,Coreopsis grandiflora 'Sunray'                              ,SUNRAY COREOPSIS                                            ,Mid/late border flowering,PRN,04,, 4.95 ,,,     , 10 ,     , 438 ,04/15/14  ,     ,          ,     ,          
CT,2010,048081,#1,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,, 4.95 ,,,     , 10 ,     , 648 ,04/15/14  ,     ,          ,     ,          
CT,2010,048082,#2,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,, 6.95 ,,,     , 5 , 7 ,     ,          ,     ,          ,     ,          
CT,    ,401921S,SuperOne TM,COREOPSIS STAR CLUSTER,                                                            ,                                                            ,Mid/late border flowering,PRN,03,, 7.95 ,,,     , 10 ,     , 789 ,04/15/14  ,     ,          ,     ,          
