Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1354973,                              ,06/15/14  ,072851,#1,COREOPSIS RUBY FROST PP21758,Ruby Frost Tickseed                                                                                 ,2011,5.50 ,PRNADV,4.29 , 10 , 10 , 42.90 ,05/01/14    ,,,0.47 , 4.76 , 4.99 ,, 14.99 ,014949357699 
GA,1354973,                              ,06/15/14  ,017361,#1,COREOPSIS X TQUILA SNRIS P9875,Tequila Sunrise Tickseed                                                                            ,    ,5.50 ,PRNADV,4.29 , 10 , 10 , 42.90 ,04/01/14    ,,,0.47 , 4.76 , 4.99 ,, 12.99 ,014949005095 
OR,1354950,                              ,06/13/14  ,027732,#2,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood                                                                         ,    ,15.25 ,,12.66 , 5 , 5 , 63.30 ,Now         ,DORMANT,"12""H - 14""S",2.01 , 14.67 , 15.68 ,, 24.99 ,014949276754 
OR,1354950,                              ,06/13/14  ,027735,#5,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood                                                                         ,    ,21.75 ,,18.05 , 5 , 5 , 90.25 ,Now         ,DORMANT,"18""H - 18""S",4.03 , 22.08 , 24.09 ,, 39.99 ,014949277355 
OR,1354950,                              ,06/13/14  ,027585,#5,CORNUS X STELLAR PINK R,Stellar Pink®  Dogwood                                                                              ,    ,38.00 ,,31.54 , 5 , 5 , 157.70 ,05/15/14    ,DORMANT,,4.03 , 35.57 , 37.58 ,, 79.99 ,014949275856 
OR,1354950,                              ,06/13/14  ,030395,#5,CORNUS X VENUS R PP16309,Venus®  Dogwood                                                                                     ,2013,38.00 ,,31.54 , 5 , 5 , 157.70 ,Now         ,DORMANT,"50""H",4.03 , 35.57 , 37.58 ,, 99.99 ,014949280287 
OR,1354950,                              ,06/13/14  ,03039M,#10 Squat,CORNUS X VENUS R PP16309,Venus®  Dogwood                                                                                     ,2013,69.00 ,,57.27 , 2 , 3 , 171.81 ,05/15/14    ,DORMANT,,14.49 , 71.76 , 79.01 ,, 149.99 ,014949345788 
OR,1354950,                              ,06/13/14  ,028171,#1,CORYDALIS FLEX CHINA BLUE,China Blue Fumewort                                                                                 ,    ,6.00 ,PRNADV,4.68 , 10 , 10 , 46.80 ,Now         ,-,CAN FULL,0.81 , 5.49 , 5.89 ,, 16.99 ,014949281710 
OR,1354950,                              ,06/13/14  ,017457,#7,CORYLUS AV CONTORTA-OWN ROOT,Harry Lauder's Walking Stick                                                                        ,    ,70.00 ,,58.10 , 2 , 2 , 116.20 ,Now         ,DORMANT,"24""H",10.06 , 68.16 , 73.19 ,, 149.99 ,014949004562 
OR,1354950,                              ,06/13/14  ,028552,#2,COT APICULATUS TOM THUMB,Tom Thumb Cranberry Cotoneaster                                                                     ,    ,13.25 ,,11.00 , 5 , 5 , 55.00 ,Now         ,DORMANT,"6""H - 10""S",2.01 , 13.01 , 14.02 ,, 24.99 ,014949285527 
