,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,025602,CITRUS KUMQUAT NAGAMI,CIT,+,37,25,-,12,9,9,4/25/2014,"1,083",$21.50 ,28,-,,
170000,025602PT,CITRUS KUMQUAT NAGAMI,CIT,+,10,10,-,-,-,3,4/25/2014,266,$30.00 ,-,-,,
170000,026605,CITRUS OWA SATSUMA MANDARIN,CIT,+,10,-,-,10,-,-,4/25/2014,45,$24.25 ,-,-,,
170000,066435,CITRUS SEEDLESS KISHU MANDARIN,CIT,+,5,-,-,5,-,-,4/25/2014,-,$24.25 ,-,-,,
170000,027305,CLEM VIT MADAME JULIA CORREVON,VIN,+,16,-,-,16,-,-,4/1/2014,-,$28.00 ,-,-,,
170000,031725,CORDYLINE BAUERI,EVS,+,25,25,-,-,-,-,,-,$27.00 ,68,-,,
170000,092731,CORDYLINE CABERNETT,EVS,+,12,12,-,-,-,-,4/1/2014,409,$8.00 ,15,-,,
170000,031701,CORDYLINE INDIVISA,EVS,+,30,10,-,20,20,"6,507",,"6,507",$6.50 ,50,-,,
170000,017421,CORDYLINE RED STAR,EVS,+,20,20,-,-,-,964,,964,$8.00 ,30,-,,
170000,030525,CUP LEY CASTLEWELLAN,CON,+,10,-,-,10,10,-,,-,$23.75 ,-,-,,
170000,030512,CUP LEY EMERALD ISLE R,CON,+,12,-,-,12,12,3,,3,$15.00 ,-,-,,
170000,030515,CUP LEY EMERALD ISLE R,CON,+,30,-,-,30,30,-,,-,$23.75 ,13,-,,
170000,078741,DELOSPERMA FIRE SPINNER R,CAC,+,27,27,-,-,-,-,,-,$5.00 ,19,-,,
170000,090221,DIANTHUS COSMIC TM PK SWRL PAF,PRN,+,100,-,-,100,100,596,4/1/2014,695,$5.50 ,-,-,,
170000,004741,DIANTHUS GRAT MOUNTAIN MIST,PRN,+,22,10,-,12,-,-,4/15/2014,-,$4.75 ,-,-,,
170000,094501,DIANTHUS RASP SURPRISE PP16029,PRN,+,37,30,-,7,7,50,5/15/2014,50,$4.75 ,22,-,,
170000,012451,DISTICTIS BUCCINATORIA,VIN,+,20,-,-,20,-,-,3/15/2014,780,$6.75 ,10,-,,
170000,012471,DISTICTIS RIVERS,VIN,+,20,-,-,20,20,14,4/1/2014,14,$6.75 ,10,-,,
170000,079161,ECHEVERIA ELEGANS,CAC,+,7,7,-,-,-,-,,-,$7.00 ,40,-,,
170000,069231S,ECHEVERIA NODULOSA,CAC,+,11,11,-,-,-,-,4/1/2014,-,$8.00 ,34,-,,
170000,077821,ECHEVERIA PERLE VON NURNBERG,CAC,+,11,10,-,1,1,-,,-,$6.75 ,15,-,,
170000,064111,ECHEVERIA RUFFLES,CAC,+,30,30,-,-,-,5,4/1/2014,53,$7.00 ,5,-,,
170000,073791,ECHEVERIA SETOSA,CAC,+,18,18,-,-,-,-,,-,$7.00 ,37,-,,
170000,016625,ELAEO LITTLE EMPEROR TM P17611,EVS,+,19,-,-,19,19,-,,-,$26.00 ,-,-,,
170000,062005,ENSETE MAURELII,PRN,+,15,-,-,15,15,44,4/1/2014,161,$31.00 ,-,-,,
170000,032561BH,EUCALYPTUS CINEREA,TRE,+,30,30,-,-,-,1,4/1/2014,1,$7.00 ,50,-,,
170000,024405SP,EUGENIA MYR LEMON SWIRL R,EVS,+,10,-,-,10,10,129,,129,$60.00 ,-,-,,
170000,019191S,EUO F GOLD SPLASH R,EVS,+,7,7,-,-,-,-,5/1/2014,-,$9.50 ,15,-,,
170000,019192S,EUO F GOLD SPLASH R,EVS,+,14,10,-,4,-,-,4/1/2014,-,$16.00 ,-,-,,
170000,035202,EUO J SILVER KING,EVS,+,70,60,10,-,-,-,,-,$13.00 ,194,-,,
170000,035205,EUO J SILVER KING,EVS,+,29,29,-,-,-,-,3/15/2014,-,$18.50 ,262,-,,
170000,035572,EURYOPS PECT VIRIDIS,EVS,+,6,6,-,-,-,334,,334,$13.00 ,75,-,,
170000,035572PT,EURYOPS PECT VIRIDIS,EVS,+,27,27,-,-,-,186,,186,$24.00 ,37,-,,
170000,035575,EURYOPS PECT VIRIDIS,EVS,+,50,50,-,-,-,9,4/1/2014,9,$18.25 ,50,-,,
170000,035575PT,EURYOPS PECT VIRIDIS,EVS,+,13,13,-,-,-,237,,237,$35.00 ,26,-,,
170000,035645,FATSIA JAPONICA,EVS,+,15,-,-,15,-,-,4/1/2014,261,$22.00 ,-,-,,
170000,036241,FERN-DRYOPTERIS ERYTHROSORA,FRN,+,10,10,-,-,-,6,,6,$6.50 ,27,-,,
170000,036795,FICUS CAR KADOTA,TRE,+,15,15,-,-,-,"1,366",,"1,366",$27.00 ,10,-,,
170000,036815,FICUS CAR MISSION,TRE,+,15,10,-,5,5,96,,96,$27.00 ,-,-,,
170000,036745,FICUS CAR PETERS HONEY,TRE,+,5,5,-,-,-,2,,2,$27.00 ,15,-,,
170000,035711,GAILLARDIA ARIZONA SUN,PRN,+,24,10,-,14,-,-,3/15/2014,-,$4.75 ,35,-,,
170000,037611,GAILLARDIA GOBLIN,PRN,+,7,7,-,-,-,-,3/15/2014,-,$4.75 ,20,-,,
170000,034155,GARDENIA AUGUST BEAUTY-GRAFT,EVS,+,12,-,-,12,-,-,4/15/2014,-,$26.25 ,-,-,,
170000,001421,GR-ACORUS GR OGON,GRS,+,335,320,15,-,-,-,,-,$6.50 ,360,-,,
170000,014011,GR-CAL ACUT KARL FOERSTER,GRS,+,111,15,-,96,-,-,4/1/2014,202,$6.50 ,10,-,,
170000,028045,GR-CORT IVORY FEATHERS R,GRS,+,211,135,12,64,57,57,3/1/2014,"1,810",$17.50 ,192,-,,
170000,028101,GR-CORT SUN STRIPE R,GRS,+,14,10,-,4,4,-,,-,$6.25 ,-,-,,
170000,028105,GR-CORT SUN STRIPE R,GRS,+,14,14,-,-,-,-,,-,$17.50 ,37,-,,
170000,028052,GR-ERIANTHUS RAVENNAE,GRS,+,17,10,-,7,7,9,,9,$13.50 ,20,-,,
170000,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,+,23,23,-,-,-,313,4/1/2014,"5,408",$5.75 ,95,-,,
170000,061562,GR-MIS SIN GRACILLIMUS,GRS,+,28,15,5,8,8,-,,-,$13.50 ,44,-,,
170000,063882,GR-PAN VIR SHENANDOAH,GRS,+,40,10,-,30,30,-,,-,$13.50 ,180,-,,
170000,005791,GR-SCHIZACHYRIUM SCO THE BLUES,GRS,+,137,127,10,-,-,198,,198,$6.25 ,201,-,,
170000,039991,HELLE X IVORY PRINCE PP16199,PRN,+,71,71,-,-,-,-,3/15/2014,-,$9.00 ,65,-,,
170000,064182,HESPERALOE BRK LIGHTS R P21729,EVS,+,74,74,-,-,-,-,,-,$15.75 ,5,-,,
