Loc,Item,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#,
CA,074741S,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,PW,014949335642,
OR,074742S,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,PW,014949339558,
OR,080771S,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,,PW,014949359501,
OR,080772S,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,,PW,014949359518,
OR,012001,BER T ATROPURPUREA,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,,,014949120019,
OR,012002,BER T ATROPURPUREA,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,,,014949120026,
OR,012011,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' Can. PBR #3488                 ,Cherry Bomb®  Japanese Barberry,,,014949120118,
CT,002242,BER T CONCORDE,Berberis thunbergii 'Concorde'                              ,Concorde Japanese Barberry                                  ,,,014949074671,
OR,012051,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,014949120514,
CA,012052,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,014949120521,
CT,012052,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,014949120521,
CT,063002,BER T GOLDEN ROCKET PP18411,                                                            ,                                                            ,,OLD,014949400807,
160000,035231,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,1,LHI,014949213865,
OR,035232,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,LHI,014949214626,
CT,035232,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,LHI,014949214626,
CT,401112,BER T GOLDEN TREASURE,                                                            ,                                                            ,,,014949388990,
OR,035271,BER T GREEN HORNET TM,Berberis thunbergii 'Grhozam'                               ,Green Hornet™  Barberry,,LHI,014949206133,
OR,035272,BER T GREEN HORNET TM,Berberis thunbergii 'Grhozam'                               ,Green Hornet™  Barberry,,LHI,014949240441,
OR,012101,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,014949121016,
OR,012102,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,014949121023,
OR,012105,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,014949121054,
CA,020701,BER T LIME GLOW,Berberis thunbergii 'Lime Glow'                             ,Lime Glow Japanese Barberry                                 ,,,014949039601,
CA,020702,BER T LIME GLOW,Berberis thunbergii 'Lime Glow'                             ,Lime Glow Japanese Barberry                                 ,,,014949055137,
OR,062931,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,,PHS,014949348093,
OR,062932,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,,PHS,014949348109,
OR,062935,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,,PHS,014949324127,
160000,035241,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,1,LHI,014949214602,
OR,035242,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,,LHI,014949214619,
OR,012201,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,014949122013,
CA,012201,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,014949122013,
OR,012202,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,014949122020,
CA,012202,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,014949122020,
OR,012203,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,014949122037,
OR,012205,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,014949122051,
OR,012211,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,LEO,014949122112,
OR,012212,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,LEO,014949122129,
OR,012213,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,LEO,014949122136,
OR,029662,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,,Y,014949070901,
OR,029665,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,,Y,014949066539,
OR,011931,BER T SUNSATION R PP11332 CBR,"Berberis thunbergii 'Monry' P.P.# 11332, Can. PBR #3487     ",Sunsation®  Japanese Barberry,,EHE,014949119310,
OR,011932,BER T SUNSATION R PP11332 CBR,"Berberis thunbergii 'Monry' P.P.# 11332, Can. PBR #3487     ",Sunsation®  Japanese Barberry,,EHE,014949119327,
OR,022021,BERGENIA COR WINTERGLOW,Bergenia cordifolia 'Winterglut'                            ,Winterglow Bergenia                                         ,,,014949043349,
CA,079142,BESCHORNERIA FLMNG GLW P22162,"Beschorneria yuccoides 'BESYS' P.P.#22,162                  ",Flamingo Glow Mexican Lily                                  ,,Y,014949357224,
CT,01429M,BETULA HERITAGE TM (CLMP),Betula nigra 'Cully'                                        ,Heritage®  River Birch Multi,,,014949027455,
OR,024715,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,,NCS,014949049464,
OR,02471M,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,,NCS,014949213513,
OR,002345,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,,TIN,014949011553,
GA,002345,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,,TIN,014949011553,
OR,012361,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,,,014949123614,
