013822,,,,2,CA,5,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS,E Shrub,04,    , $17.62 , $17.73 , $16.66 ,,014949138229,61,108,108,0,0,0,0,0,, $15.00 , $2.73 
013823,,,,3,OR,5,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS,E Shrub,04,    , $26.69 ,,,,014949138236,0,5,5,10/01/14  ,0,          ,0,          ,, $22.50 , $4.19 
013825,,,,5,CA,5,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS,E Shrub,04,    , $30.73 , $30.96 ,, $28.55 ,014949138250,0,258,258,0,0,0,0,0,, $25.50 , $5.46 
025291,,,,1,CA,10,Calliandra eriophylla                                       ,Pink Fairy Duster                                           ,EVS,E Shrub,07,    ,, $7.59 ,,,014949051443,512,512,512,04/01/15  ,0,          ,0,          ,, $6.50 , $1.09 
025292,,,,2,CA,5,Calliandra eriophylla                                       ,Pink Fairy Duster                                           ,EVS,E Shrub,07,    ,, $17.73 ,,,014949051542,83,179,179,04/01/15  ,0,          ,0,          ,, $15.00 , $2.73 
014031,,,,1,OR,10,Calluna vulgaris 'Corbett's Red'                            ,Corbett's Red Scotch Heather                                ,EVS,E Shrub,05,    , $9.55 ,,,,014949140314,239,0,0,          ,0,          ,0,          ,, $8.50 , $1.05 
029051,,,,1,OR,10,Calluna vulgaris 'Mrs. Ronald Gray'                         ,Mrs. Ronald Gray Scotch Heather                             ,EVS,E Shrub,05,    , $9.55 ,,,,014949124796,278,0,0,          ,0,          ,0,          ,, $8.50 , $1.05 
020151,,,,1,OR,10,Calluna vulgaris 'Sandy',Sandy Scotch Heather                                        ,EVS,E Shrub,05,    , $9.55 ,,,,014949052259,28,0,0,          ,0,          ,0,          ,, $8.50 , $1.05 
031292,,,,2,OR,5,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,EVS,E Shrub,08,2013, $17.62 ,,,,014949368480,0,605,605,10/01/14  ,0,          ,0,          ,, $15.00 , $2.62 
031295,,,,5,OR,5,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,EVS,E Shrub,08,2013, $28.73 ,,,,014949274491,0,84,84,05/01/15  ,0,          ,0,          ,, $23.50 , $5.23 
023185,,,,5,OR,5,Ceanothus thyrsiflorus 'Victoria'                           ,Victoria California Lilac                                   ,EVS,E Shrub,08,    , $28.73 ,,,,014949231852,1314,1614,1614,05/01/15  ,0,          ,0,          ,, $23.50 , $5.23 
023181S,,,,SuperOne TM,OR,10,Ceanothus thyrsiflorus 'Victoria'                           ,Victoria California Lilac                                   ,EVS,E Shrub,08,    , $10.24 ,,,,014949233702,0,36,36,10/01/14  ,0,          ,0,          ,, $8.50 , $1.74 
031315,,,,5,OR,5,Ceanothus x 'Blue Jeans'                                    ,Blue Jeans California Lilac                                 ,EVS,E Shrub,08,2010, $28.73 ,,,,014949274507,74,0,0,          ,0,          ,0,          ,, $23.50 , $5.23 
024352,,,,2,OR,5,Choisya ternata                                             ,Mexican Orange Blossom                                      ,EVS,E Shrub,07,    , $17.62 ,,,,014949233719,0,645,645,10/01/14  ,0,          ,0,          ,, $15.00 , $2.62 
048622,,,,2,OR,5,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             ,EVS,E Shrub,07,2010, $19.12 ,,,,014949306864,0,111,111,10/01/14  ,0,          ,0,          ,, $16.50 , $2.62 
048625,,,,5,OR,5,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             ,EVS,E Shrub,07,2010, $28.73 ,,,,014949264751,26,0,0,          ,0,          ,0,          ,, $23.50 , $5.23 
050511,,,,1,OR,10,Cistus 'Grayswood Pink'                                     ,Grayswood Pink Rock Rose                                    ,EVS,E Shrub,08,2010, $8.30 ,,,,014949368428,0,41,41,04/01/15  ,0,          ,0,          ,, $7.25 , $1.05 
050515,,,,5,OR,5,Cistus 'Grayswood Pink'                                     ,Grayswood Pink Rock Rose                                    ,EVS,E Shrub,08,2010, $27.23 ,,,,014949264966,213,0,0,          ,0,          ,0,          ,, $22.00 , $5.23 
024511,,,,1,CA,10,Cistus x 'Brilliancy'                                       ,Brillancy Rock Rose                                         ,EVS,E Shrub,08,    , $8.30 , $8.34 ,,,014949245118,0,1004,1004,0,0,0,0,0,, $7.25 , $1.09 
024515,,,,5,CA,5,Cistus x 'Brilliancy'                                       ,Brillancy Rock Rose                                         ,EVS,E Shrub,08,    , $27.23 , $27.46 ,,,014949245156,85,130,130,0,0,0,0,0,, $22.00 , $5.46 
024601,,,,1,CA,10,Cistus x purpureus                                          ,Purple Rock Rose                                            ,EVS,E Shrub,08,    ,, $8.34 ,,,014949246016,0,871,871,03/01/15  ,0,          ,0,          ,, $7.25 , $1.09 
051352,,,,2,OR,5,Coprosma 'Black Cloud'                                      ,Black Cloud Mirror Bush                                     ,EVS,E Shrub,07,2011, $18.62 ,,,,014949341650,25,25,25,10/01/14  ,0,          ,0,          ,, $16.00 , $2.62 
090462,,,,2,OR,5,Corokia x virgata 'Phantom' ,Phantom Corokia                                             ,EVS,E Shrub,08,2012, $18.62 ,,,,014949241066,92,429,429,05/01/15  ,0,          ,0,          ,, $16.00 , $2.62 
029001,,,,1,OR,10,Cotoneaster dammeri 'Coral Beauty'                          ,Coral Beauty Cotoneaster                                    ,EVS,E Shrub,05,    , $7.55 ,,,,014949290019,25,25,25,10/01/14  ,0,          ,0,          ,, $6.50 , $1.05 
