Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
CT,1494979,SPRING 2015 CT                ,06/01/15  ,089953S,Super 3,HYD P LITTLE QUICK FIRE R PPAF,DCS,03,Little Quick Fire™  Hardy Hydrangea                                                                 ,2014,17.75,,15.62, 5 , 10 , 156.20 ,     ,     ,     ,Now         ,,,,1.46, 17.08 ,     ,, 34.99 ,014949415139 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,080955,#5,HYD PAN BOBO R PP22782,DCS,03,Bobo®  Hardy Hydrangea                                                                              ,2012,24,,21.12, 5 , 10 , 211.20 ,     ,     ,     ,Now         ,DORMANT,,,2.92, 24.04 ,     ,, 49.99 ,014949373347 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,093173,#3,HYD QUER MUNCHKIN,DCS,05,Munchkin Oakleaf Hydrangea                                                                          ,2013,19.25,,16.94, 5 , 10 , 169.40 ,     ,     ,     ,Now         ,-,,,1.46, 18.40 ,     ,, 34.99 ,014949404881 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,092655,#5,ILEX EMRLD COLONNADE R PP23905,EVS,07,Emerald Colonnade®  Holly                                                                           ,2011,23.5,,20.68, 5 , 10 , 206.80 ,     ,     ,     ,Now         ,,"30""H - 14""S",,2.92, 23.60 ,     ,, 49.99 ,014949263471 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,046632,#2,JASMINUM SAMBAC GRAND DUKE,EVS,10,Grand Duke Arabian Jasmine                                                                          ,    ,16.5,,14.52, 5 , 10 , 145.20 ,     ,     ,     ,04/15/15    ,,,,2.56, 17.08 ,     ,, 34.99 ,014949466322 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,056611,#1,LANTANA CAM AMERICAN RED,PRN,09,American Red Bush Lantana                                                                           ,    ,5.1,,4.49, 10 , 12 , 53.88 ,     ,     ,     ,04/15/15    ,,,PS0,0.58, 5.07 ,     ,, 10.99 ,014949566114 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,009133PT,#3 PATIO TREE,LANTANA CAM MOZELLE,PRN,10,Mozelle Lantana                                                                                     ,    ,35.5,,31.24, 2 , 4 , 124.96 ,     ,     ,     ,Now         ,,"15""S",PS0,3.5, 34.74 ,     ,, 69.99 ,014949053065 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,024461,#1,LANTANA TEENIE GENIE R PP17612,PRN,09,Teenie Genie®  Compact Lantana                                                                      ,    ,5.5,,4.84, 10 , 24 , 116.16 ,     ,     ,     ,04/15/15    ,,,PS0,0.58, 5.42 ,     ,, 10.99 ,014949048870 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,057291,#1,LAURUS NOBILIS,EVS,08,Sweet Bay                                                                                           ,    ,7,,6.16, 10 , 15 , 92.40 ,     ,     ,     ,04/01/15    ,-,,,1.02, 7.18 ,     ,, 14.99 ,014949572917 
OR,1494529,SP 2015 OR                    ,06/15/15  ,058941,#1,LITHODORA GRACE WARD,PRN,06,Grace Ward Lithodora                                                                                ,    ,4.9,,4.31, 10 , 30 , 129.30 ,     ,     ,     ,03/01/15    ,-,,PS0,0.98, 5.29 ,     ,, 10.99 ,014949589410 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,VIN,04,Scentsation Honeysuckle                                                                             ,New ,9.1,,8.01, 10 , 15 , 120.15 ,     ,     ,     ,Now         ,WINTER LOOK,"24""H",,1.71, 9.72 ,     ,, 19.99 ,014949369982 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,058992ST,#2 STAKED,LONICERA X GOLDFLAME,VIN,04,Goldflame Honeysuckle                                                                               ,    ,16.5,,14.52, 5 , 9 , 130.68 ,     ,     ,     ,Now         ,WINTER LOOK,"30""H",,2.56, 17.08 ,     ,, 34.99 ,014949041321 
