1,Item,Description,Botanical Name,Common Name
OR,01388UT,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  
OR,035971,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood
OR,03597E,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood
OR,03597UT,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood
OR,013991,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       
OR,013995,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       
OR,092922,CALLICARPA DICH SUMMER SNOW R,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry
OR,029051,CALLUNA MRS. RONALD GRAY,Calluna vulgaris 'Mrs. Ronald Gray'                         ,Mrs. Ronald Gray Scotch Heather                             
OR,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,Campanula carpatica 'Deep Blue Clips'                       ,Deep Blue Clips Bellflower                                  
OR,408421,CAMPANULA GLOM GENTI BLUE PPAF,Campanula glomerata 'Genti Blue'                            ,Genti Blue Bellflower                                       
OR,408411,CAMPANULA GLOM GENTI WHITE PAF,Campanula glomerata 'Genti White'                           ,Genti White Bellflower                                      
OR,022361,CAMPANULA PORTENSCHLAGIANA,Campanula portenschlagiana                                  ,Dalmatian Bellflower                                        
OR,038611,CAMPANULA SAMANTHA,Campanula 'Samantha'                                        ,Samantha Bellflower                                         
OR,022495,CARAGANA ARB WALKER,Caragana arborescens 'Walker'                               ,Walker Siberian Peashrub                                    
OR,092891,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard
OR,092892,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard
OR,031295,CEANOTHUS CENTENNIAL,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                
OR,023185,CEANOTHUS THY VICTORIA,Ceanothus thyrsiflorus 'Victoria'                           ,Victoria California Lilac                                   
OR,074432S,CEANOTHUS X MARIE BLEU TM PPAF,Ceanothus x pallidus 'Minmari' P.P.A.F.                     ,Marie Bleu™  New Jersey Tea
OR,023305,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            
OR,023315SE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    
OR,023315ST,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    
OR,023327,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  
OR,023357,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                
OR,023365,CEDRUS DEODARA AUREA,Cedrus deodara 'Aurea'                                      ,Golden Deodar Cedar                                         
OR,023367,CEDRUS DEODARA AUREA,Cedrus deodara 'Aurea'                                      ,Golden Deodar Cedar                                         
OR,02328MST,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   
OR,051275ST,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar
OR,017381,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   
OR,017382,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   
OR,017385,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   
OR,028832,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 
OR,028835,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 
OR,023481,CERATOSTIGMA PLUMBAGINOIDES,Ceratostigma plumbaginoides                                 ,Dwarf Plumbago                                              
OR,038425,CERCIS C ACE OF HEARTS PP17161,"Cercis canadensis 'Ace Of Hearts' P.P. #17,161              ",Ace of Hearts Redbud                                        
OR,049545,CERCIS C LITTLE WOODY PPAF,"Cercis canadensis 'Little Woody' P.P. #15,854               ",Little Woody Redbud                                         
OR,017855,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud
OR,057382,CESTRUM AUR ORANGE PEEL,Cestrum 'Orange Peel'                                       ,Orange Peel Jessamine                                       
OR,074442S,CHAEN DBLTKE TM OR STRM P20950,"Chaenomeles speciosa 'Orange Storm' P.P. #20,950, C.B.R.A.F.",Double Take™  Orange Storm Flowering Quince
OR,074452S,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince
OR,023655,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      
OR,02365M,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      
OR,023902,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     
OR,023905,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     
OR,023682,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                
OR,023685,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                
OR,023911,CHAM OBT TEMPELHOF,Chamaecyparis obtusa 'Tempelhof'                            ,Tempelhof Cypress                                           
OR,082401,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    
OR,082402,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    
OR,082405,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    
OR,08240UT,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    
