Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
03711,3,,,3,CT,5,Fothergilla gardenii 'Blue Mist'                            ,Blue Mist Dwarf Fothergilla                                 ,DCS,D Shrubs,05,2011,,,, $19.29 ,014949403082,0,186,186,09/01/14  ,0,          ,0,          ,, $6.25 , $1.09 
03718,5,,,5,CT,5,Fothergilla major 'Mount Airy'                              ,Mount Airy Fothergilla                                      ,DCS,D Shrubs,04,    ,,,, $38.05 ,014949371855,0,305,305,09/01/14  ,0,          ,0,          ,, $21.00 , $5.46 
40292,2,,,2,CT,5,Genista lydia Bangle™,Bangle™  Genista,DCS,D Shrubs,04,    ,,,, * ,014949391105,541,0,0,          ,0,          ,0,          ,, $21.00 , $5.23 
03812,2,,,2,OR,5,Genista pilosa 'Gold Flash'                                 ,Gold Flash Broom                                            ,DCS,D Shrubs,03,    , $18.12 ,,,,014949381229,20,20,20,10/01/14  ,0,          ,0,          ,, $21.00 , $5.46 
03921,5,,,5,CT,5,Hamamelis virginiana                                        ,Witch Hazel                                                 ,DCS,D Shrubs,04,    ,,,, * ,014949392157,90,128,128,09/01/14  ,0,          ,0,          ,, $7.00 , $1.05 
03928,5,,,5,OR,5,Hamamelis x intermedia 'Arnold Promise'                     ,Arnold Promise Witch Hazel                                  ,DCS,D Shrubs,05,    , $40.23 ,,, $38.05 ,014949392850,25,0,0,          ,0,          ,0,          ,, $15.25 , $2.73 
03924,5,,,5,OR,5,Hamamelis x intermedia 'Diane'                              ,Diane Witch Hazel                                           ,DCS,D Shrubs,05,    , $40.23 ,,,,014949392454,7,0,0,          ,0,          ,0,          ,, $22.00 , $5.46 
03923,1,,,1,OR,10,Hamamelis x intermedia 'Jelena'                             ,Jelena Witch Hazel                                          ,DCS,D Shrubs,05,    , $11.80 ,,,,014949392317,223,0,0,          ,0,          ,0,          ,, * , $1.11 
00211,5,,,5,CA,5,Hibiscus syriacus 'Aphrodite'                               ,Aphrodite Rose Of Sharon                                    ,DCS,D Shrubs,05,    ,, $26.46 ,,,014949021156,0,7,7,05/01/15  ,0,          ,0,          ,, $9.50 , $1.74 
07451,3S,,,Super 3,CT,5,Hibiscus syriacus Azurri Satin™,Azurri Satin™  Rose of Sharon,DCS,D Shrubs,05,2011,,,, $19.29 ,014949414996,0,89,89,09/01/14  ,0,          ,0,          ,, $17.00 , $3.49 
