Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CA,    ,048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 79.50 , 67.58 , 7.87 , 75.45 ,,     ,014949480953,     ,     ,-,"56""H", 2 ,     , 12 ,04/01/16  ,     ,          ,     ,          
CA,    ,048005PP,#5 POMPON,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 69.00 , 58.65 , 7.87 , 66.52 ,,     ,014949480656,     ,     ,-,"24""H - 24""S", 2 , 111 ,     ,          ,     ,          ,     ,          
CA,    ,048005SP,#5 SPIRAL,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 77.25 , 65.66 , 7.87 , 73.53 ,,     ,014949480250,     ,     ,-,LTD RELEASE, 2 , 49 ,     ,          ,     ,          ,     ,          
CA,    ,048005TD,#5 TEAR DROP,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 67.00 , 56.95 , 7.87 , 64.82 ,,     ,014949480557,     ,     ,-,"46""H", 2 , 25 ,     ,          ,     ,          ,     ,          
CA,    ,048007PP,#7 POMPON,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 95.00 , 80.75 , 19.69 , 100.44 ,,     ,014949480670,     ,     ,-,"34""H - 30""S", 2 , 72 ,     ,          ,     ,          ,     ,          
CA,    ,048007SP,#7 SPIRAL,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 105.50 , 89.68 , 13.12 , 102.80 ,,     ,014949230893,     ,     ,-,LTD RELEASE, 2 , 45 ,     ,          ,     ,          ,     ,          
CA,    ,048009PP,#15 POMPON,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 122.25 , 103.91 , 39.37 , 143.28 ,,     ,014949480694,     ,     ,-,"41""H - 41""S", 1 , 15 ,     ,          ,     ,          ,     ,          
CA,    ,048009SP,#15 SPIRAL,JUN C MINT JULEP R,Juniperus chinensis 'Monlep'                                ,Mint Julep®  Juniper,CON,03,, 153.50 , 130.48 , 26.25 , 156.73 ,,     ,014949230732,     ,     ,-,LTD RELEASE, 1 , 47 ,     ,          ,     ,          ,     ,          
CA,    ,048451,#1,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 6.50 , 5.53 , 1.05 , 6.58 ,,     ,014949484517,     ,     ,-,"12""S", 10 ,     , 125 ,04/01/16  ,     ,          ,     ,          
CA,    ,048451BO,#1 BONSAI,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 17.25 , 14.66 , 1.57 , 16.23 ,,     ,014949484616,     ,     ,-,5-7 BALLS, 5 ,     , 148 ,04/01/16  ,     ,          ,     ,          
CA,    ,048452BO,#2 BONSAI,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 34.00 , 28.90 , 3.94 , 32.84 ,,     ,014949484623,     ,     ,-,5-7 BALLS, 5 , 48 , 48 ,04/01/16  ,     ,          ,     ,          
CA,    ,048452OP,#2 ORIENTAL POMPON,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 47.00 , 39.95 , 3.94 , 43.89 ,,     ,014949485026,     ,     ,-,"32""H", 5 ,     , 8 ,04/01/16  ,     ,          ,     ,          
CA,    ,048452P3,#2 3BALL POODLE,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 47.00 , 39.95 , 3.94 , 43.89 ,,     ,014949484821,     ,     ,-,"30""H - 8""S", 5 ,     , 46 ,04/01/16  ,     ,          ,     ,          
CA,    ,048455BO,#5 BONSAI,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 61.75 , 52.49 , 7.87 , 60.36 ,,     ,014949484654,     ,     ,-,5 -7 BALLS, 2 , 8 ,     ,          ,     ,          ,     ,          
CA,    ,048455P3,#5 3BALL POODLE,JUN C SAN JOSE,Juniperus chinensis 'San Jose'                              ,San Jose Juniper                                            ,CON,04,, 68.00 , 57.80 , 7.87 , 65.67 ,,     ,014949484852,     ,     ,-,"36""H - 10""S", 2 ,     , 15 ,04/01/16  ,     ,          ,     ,          
OR,    ,048131,#1,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,CON,03,, 6.75 , 5.74 , 0.97 , 6.71 ,,     ,014949481318,     ,     ,-,"10""S", 10 ," 1,118 ",     ,          ,     ,          ,     ,          
CA,    ,048131,#1,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,CON,03,, 6.75 , 5.74 , 1.05 , 6.79 ,,     ,014949481318,     ,     ,-,"8""S", 10 , 113 , 113 ,11/15/15  ,     ,          ,     ,          
OR,    ,048132,#2,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,CON,03,, 14.25 , 12.11 , 2.44 , 14.55 ,,     ,014949065693,     ,     ,-,"12""S", 5 ,     , 18 ,04/27/16  ,     ,          ,     ,          
OR,    ,048135,#5,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,CON,03,, 19.50 , 16.58 , 4.87 , 21.45 ,,     ,014949481356,     ,     ,-,"18""S", 5 ,     , 10 ,04/27/16  ,     ,          ,     ,          
CA,    ,048135,#5,JUN C SEA OF GOLD R PP17622,"Juniperus x pfitzeriana 'MonSan' P.P. #17,622               ",Sea Of Gold®  Juniper,CON,03,, 19.50 , 16.58 , 5.25 , 21.83 ,,     ,014949481356,     ,     ,-,"18""S", 5 , 6 ,     ,          ,     ,          ,     ,          
