Branch,Item,Description,Confirmed Qty Remaining,,,,,,,,,,,,,
550000,062232,NAND DOM FIREPOWER, 20 ,,,,,,,,,,,,,
550000,063111,OPHIOPOGON EBONY KNIGHT TM, 150 ,,,,,,,,,,,,,
160000,047085,PAEONIA ITOH KEIKO TM (PK D D), 20 ,,,,,,,,,,,,,
160000,052605,PAEONIA ITOH MISAKA TM PP22192, 10 ,,,,,,,,,,,,,
160000,047075,PAEONIA ITOH YUMI TM PAF (YLW), 20 ,,,,,,,,,,,,,
160000,050282,PAEONIA X BUCKEYE BELLE (RED), 20 ,,,,,,,,,,,,,
170000,002475,PARTH Q STAR SHOWERS R P10128, 20 ,,,,,,,,,,,,,
170000,002581,PARTH TRI GREEN SHOWERS, 20 ,,,,,,,,,,,,,
170000,002501,PARTH TRI VEITCHII, 20 ,,,,,,,,,,,,,
170000,064415,PHILADELPHUS VIR DWF SNOWFLAKE, 30 ,,,,,,,,,,,,,
170000,064425,PHILADELPHUS VIR NATCHEZ, 30 ,,,,,,,,,,,,,
160000,064622SP,PICEA GL CONICA, 25 ,,,,,,,,,,,,,
160000,064625SP,PICEA GL CONICA, 8 ,,,,,,,,,,,,,
160000,06462MSP,PICEA GL CONICA, 8 ,,,,,,,,,,,,,
160000,064695,PICEA PUN GLOBOSA, 20 ,,,,,,,,,,,,,
160000,064695PT,PICEA PUN GLOBOSA, 25 ,,,,,,,,,,,,,
550000,066375PT,PLUMBAGO ROYAL CAPE R, 15 ,,,,,,,,,,,,,
170000,068015PT,PUNICA GR SMITH ANGLRD PP16578, 5 ,,,,,,,,,,,,,
170000,067701,PYRACANTHA ANG YUKON BELLE R, 20 ,,,,,,,,,,,,,
170000,067705,PYRACANTHA ANG YUKON BELLE R, 30 ,,,,,,,,,,,,,
170000,067705ES,PYRACANTHA ANG YUKON BELLE R, 8 ,,,,,,,,,,,,,
550000,036292,ROSA FLWR CAR R AMBER PPAF, 50 ,,,,,,,,,,,,,
170000,079572,ROSA FLWR CAR R PNK SPLSH PPAF, 50 ,,,,,,,,,,,,,
550000,036382,ROSA FLWR CAR R PNK SUP P16276, 50 ,,,,,,,,,,,,,
550000,071602,ROSA FLWR CAR R RED P11308, 50 ,,,,,,,,,,,,,
170000,070212,ROSA FLWR CAR R WHITE P9573, 50 ,,,,,,,,,,,,,
170000,018242,ROSA FLWR CAR R YELLOW PP13869, 50 ,,,,,,,,,,,,,
550000,011625,ROSA KNCK OUT R P11836 (RED), 225 ,,,,,,,,,,,,,
550000,011625PT,ROSA KNCK OUT R P11836 (RED), 50 ,,,,,,,,,,,,,
170000,070282PY,ROSMARINUS OFF TUSCAN BLUE, 10 ,,,,,,,,,,,,,
170000,070285PY,ROSMARINUS OFF TUSCAN BLUE, 1 ,,,,,,,,,,,,,
170000,07028EPT,ROSMARINUS OFF TUSCAN BLUE, 20 ,,,,,,,,,,,,,
170000,07028EST,ROSMARINUS OFF TUSCAN BLUE, 20 ,,,,,,,,,,,,,
170000,079382,RUBUS RSPBRY SHRTCKE TM P22141, 300 ,,,,,,,,,,,,,
550000,03026UT,SEDUM ALB CORAL CARPET, 43 ,,,,,,,,,,,,,
170000,070941,SEDUM BRONZE CARPET, 150 ,,,,,,,,,,,,,
550000,07094UT,SEDUM BRONZE CARPET, 68 ,,,,,,,,,,,,,
550000,06514UT,SEDUM MAKINOI LIMELIGHT, 94 ,,,,,,,,,,,,,
550000,044871,SEDUM RUP ANGELINA PPAF, 150 ,,,,,,,,,,,,,
550000,04487UT,SEDUM RUP ANGELINA PPAF, 129 ,,,,,,,,,,,,,
550000,06368UT,SEDUM SIEBOLDII, 200 ,,,,,,,,,,,,,
550000,00730UT,SEDUM SSPRKLR R LIME ZNGR PPAF, 40 ,,,,,,,,,,,,,
