Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
CA,5/1/2014,1372051,61645,GR-MIS SIN YAKUSHIMA,#5,5,5,Remaining,$76.15 ,READY,"5""H",CUT BACK,$15.23 ,,$20.86 ,,$46.99 ,14949616451
CA,5/1/2014,1372051,61795,GR-PAN VIR HEAVY METAL,#5,5,5,Remaining,$76.15 ,READY,"4""H",CUT BACK,$15.23 ,,$20.86 ,,$46.99 ,14949617953
CA,5/1/2014,1372051,64261,GR-PENN ALO HAMELN,#1,20,20,Remaining,$108.80 ,READY,CAN FULL,CUT BACK,$5.44 ,,$6.57 ,,$14.99 ,14949642610
CA,5/1/2014,1372051,64262,GR-PENN ALO HAMELN,#2,20,20,Remaining,$235.00 ,READY,CAN FULL,CUT BACK,$11.75 ,,$14.57 ,,$32.99 ,14949642627
GA,5/1/2014,1372061,63591,GR-PENN ALO LITTLE BUNNY,#1,35,35,Remaining,$190.40 ,4/1/2014,,,$5.44 ,,$6.10 ,,$13.99 ,14949635919
CA,5/1/2014,1372051,22201,GR-PENN SET FIREWORKS PP18504,#1,15,15,Remaining,$91.35 ,READY,"6""H",WINTER COLOR,$6.09 ,,$7.22 ,,$16.99 ,14949312308
GA,5/1/2014,1372061,23101,HEUCHERA FROSTED VIOLET P15085,#1,10,10,Remaining,$41.30 ,READY,CAN FULL,,$4.13 ,,$4.79 ,,$10.99 ,14949043059
CA,5/1/2014,1372051,47531,HEUCHERA GEORGIA PEACH PP19375,#1,4,4,Remaining,$26.12 ,3/15/2014,,,$6.53 ,,$7.66 ,,$17.99 ,14949255957
GA,5/1/2014,1372061,28871,HEUCHERA MARMALADE PP15945,#1,10,10,Remaining,$65.30 ,READY,CAN FULL,,$6.53 ,,$7.19 ,,$16.99 ,14949065846
OR,5/1/2014,1372023,45721,HEUCHERA MIDNIGHT ROSE PP18551,#1,10,10,Remaining,$65.30 ,READY,CAN FULL,,$6.53 ,,$7.61 ,,$17.99 ,14949238431
CA,5/1/2014,1372051,83992,HIB SYR BLUE BIRD-GRAFTED,#2,5,5,Remaining,$72.85 ,READY,"13""H - 8""S",DORMANT,$14.57 ,,$17.39 ,,$39.99 ,14949006382
CA,5/1/2014,1372051,074831S,HIB SYR SUGAR TIP R PP20579,SuperOne TM,5,5,Remaining,$42.40 ,5/1/2014,,,$8.48 ,,$10.36 ,,$23.99 ,14949335895
GA,5/1/2014,1372061,074562S,HYD MAC CTYLN TM PARIS PP10906,SuperTwo,5,5,Remaining,$69.60 ,READY,cut back,DORMANT,$13.92 ,,$16.13 ,,$36.99 ,14949338230
CA,5/1/2014,1372051,074542S,HYD MAC CTYLN TM RIO,SuperTwo,5,5,Remaining,$69.60 ,4/15/2014,,,$13.92 ,,$17.68 ,,$39.99 ,14949338223
GA,5/1/2014,1372061,074572S,HYD MAC CTYLN TM VENICE P10928,SuperTwo,5,5,Remaining,$69.60 ,READY,"10""H - 12""S",DORMANT,$13.92 ,,$16.13 ,,$36.99 ,14949338247
CA,5/1/2014,1372051,41925,HYD MAC MARIESII VARIEGATA,#5,5,5,Remaining,$81.55 ,READY,"12""H - 15""S",BREAKING DORMANCY,$16.31 ,,$21.94 ,,$49.99 ,14949419250
GA,5/1/2014,1372061,41965,HYD MAC NIKKO BLUE,#5,5,5,Remaining,$81.55 ,READY,"15""H - 15""S",DORMANT,$16.31 ,,$19.63 ,,$44.99 ,14949419656
GA,6/15/2014,1372061,42072,HYD MAC PINK ELF R (PIA),#2,10,10,Remaining,$132.70 ,6/15/2014,,,$13.27 ,,$14.93 ,,$33.99 ,14949420720
OR,5/1/2014,1372023,41702,HYD PETIOLARIS,#2 STAKED,10,10,Remaining,$158.80 ,READY,FULL STK,DORMANT,$15.88 ,,$18.58 ,,$41.99 ,14949417027
OR,5/1/2014,1372023,41705,HYD PETIOLARIS,#5 STAKED,10,10,Remaining,$239.30 ,READY,36'' FULL STK,DORMANT,$23.93 ,,$29.34 ,,$66.99 ,14949417058
GA,5/1/2014,1372061,44935,ILEX CREN SKY PENCIL(SKY SNTRY,#5,10,10,Remaining,$178.40 ,5/1/2014,,,$17.84 ,,$21.16 ,,$47.99 ,14949449356
OR,5/1/2014,1372023,45135,ILEX X BERRI-MAGIC R ROYALTY,#5,5,5,Remaining,$94.60 ,READY,16''H - 18''S,LIGHT BERRIES,$18.92 ,,$24.33 ,,$54.99 ,14949451359
OR,5/1/2014,1372023,45353,ILEX X LITTLE RASCAL R P9999,#3,10,10,Remaining,$182.70 ,READY,16''H - 15''S,-,$18.27 ,,$22.59 ,,$50.99 ,14949453537
OR,5/1/2014,1372023,21093,ILEX X SCALLYWAG TM PP21941,#3,5,5,Remaining,$102.25 ,READY,16''H - 16''S,-,$20.45 ,,$24.77 ,,$55.99 ,14949271087
