Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On
OR,2013,075632,#2 STAKED,HYD INTEG TAIPING SHAN CLIMBNG,VIN,07, 16.50 ,,"21"" H", 18 , 5 ,     , 18 ,05/01/15  
OR,2013,092752,#2,HYD M ENCHANTRESS R PPAF,DCS,05, 17.00 ,LIGHT BUD & BLOOM,"12""H - 12""S",     , 5 ," 1,665 ",     ,          
CA,2013,092752,#2,HYD M ENCHANTRESS R PPAF,DCS,05, 17.00 ,LIGHT BUD & BLOOM,"12''H -12""S", 15 , 5 ," 6,191 "," 8,020 ",12/31/14  
GA,2013,092752,#2,HYD M ENCHANTRESS R PPAF,DCS,05, 17.00 ,,, 272 , 5 , 825 ," 6,757 ",11/01/14  
OR,2013,092755,#5,HYD M ENCHANTRESS R PPAF,DCS,05, 24.00 ,LIGHT BUD & BLOOM,"14""H - 14""S",     , 5 ," 2,662 ",     ,          
CA,2013,092755,#5,HYD M ENCHANTRESS R PPAF,DCS,05, 24.00 ,BUDS & BLOOMS,"18""H - 18""S",     , 5 ," 4,674 "," 12,932 ",12/31/14  
CT,2013,092755,#5,HYD M ENCHANTRESS R PPAF,DCS,05, 24.00 ,,"15""H - 15""S", 48 , 5 ,     , 61 ,10/01/14  
GA,2013,092755,#5,HYD M ENCHANTRESS R PPAF,DCS,05, 24.00 ,,"15""H - 15""S"," 3,320 ", 5 ," 1,466 "," 2,497 ",11/01/14  
CT,2014,403833S,Super 3,HYD MAC CTYLN TM MARS PPAF,DCS,05, 21.50 ,-,, 27 , 5 ,     , 27 ,05/01/15  
CT,2014,403843S,Super 3,HYD MAC CTYLN TM VIENNA P10930,DCS,05, 21.50 ,,, 13 , 5 ,     , 13 ,05/01/15  
CA,2014,086312S,SuperTwo,HYD MAC LD R RHAPSODY BLUE PAF,DCS,05, 17.00 ,,, 99 , 5 ,     , 99 ,05/01/15  
CT,2014,086313S,Super 3,HYD MAC LD R RHAPSODY BLUE PAF,DCS,05, 21.50 ,-,, 10 , 5 ,     , 10 ,06/01/15  
GA,2014,086315,#5,HYD MAC LD R RHAPSODY BLUE PAF,DCS,05, 24.00 ,,, 76 , 5 ,     , 76 ,05/15/15  
GA,2014,089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,DCS,05, 17.00 ,,, 294 , 5 ,     , 294 ,04/15/15  
CT,2014,084803,#3,HYD PAN BOMBSHELL PP21008,DCS,03, 17.75 ,-,"26""H X 28""S", 53 , 5 , 405 ,     ,          
CA,2014,089941S,SuperOne TM,HYD PAN FIRE LIGHT TM PPAF,DCS,03, 10.50 ,-,"8""H - 10""S",     , 10 , 91 , 91 ,02/01/15  
CT,2014,089943S,Super 3,HYD PAN FIRE LIGHT TM PPAF,DCS,03, 17.75 ,,,     , 5 ,     , 996 ,06/01/15  
GA,2014,089945,#5,HYD PAN FIRE LIGHT TM PPAF,DCS,03, 24.00 ,,"16""H - 14""S", 25 , 5 , 25 ,     ,          
OR,2013,093175,#5,HYD QUER MUNCHKIN,DCS,05, 24.50 ,-,12''H - 16''S, 8 , 5 , 8 ,     ,          
OR,2013,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,DCS,05, 10.50 ,-,12''H - 10''S,     , 10 , 173 ,     ,          
CA,2013,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,DCS,05, 10.50 ,-,"8""H - 10""S",     , 10 , 178 , 178 ,04/01/15  
GA,2013,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,DCS,05, 10.50 ,,"8""H - 8""S", 30 , 10 ,     , 390 ,11/01/14  
OR,2013,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,DCS,05, 17.00 ,LIGHT BUDS,12''H - 12''S, 20 , 5 , 288 , 477 ,10/01/14  
CA,2013,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,DCS,05, 17.00 ,-,"10""H - 12""S", 1 , 5 , 2 , 2 ,04/01/15  
GA,2013,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,DCS,05, 17.00 ,,"10""H - 12""S", 49 , 5 ,     , 50 ,11/01/14  
CA,2013,065381,#1,HYPERICUM AN IGNITE RED P19468,DCS,05, 8.50 ,-,"10""H - 8""S", 20 , 10 ,     , 20 ,03/01/15  
CA,2013,065382,#2,HYPERICUM AN IGNITE RED P19468,DCS,05, 14.50 ,,, 7 , 5 ,     , 7 ,03/01/15  
CA,2013,080892S,SuperTwo,HYPERICUM K BLUES FSTVL TM PAF,DCS,04, 17.00 ,,"10""H - 12""S",     , 5 ,     , 304 ,03/01/15  
