Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,,Selling Price,Price Code,Extended,
20,20,4/1/2014,071583,SPIRAEA JAP NEON FLASH,3,,450000,14949046777,,,$9.20 ,,$184.00 ,
45,45,4/1/2014,071152,SPIRAEA X ANTHONY WATERER,2,,450000,14949711521,,,$7.40 ,,$333.00 ,
45,45,4/1/2014,071173,SPIRAEA X GOLDFLAME,3,,450000,14949046432,,,$10.00 ,,$450.00 ,
10,10,4/1/2014,071453,SPIRAEA X VANHOUTTEI,3,,450000,14949046685,,,$9.20 ,,$92.00 ,
30,30,4/1/2014,071865,SYRINGA MEYERI PALIBIN,5,,450000,14949718650,,,$17.20 ,,$516.00 ,
50,50,4/1/2014,406843,SYRINGA PRESIDENT GREVY,3,,450000,14949398753,,,$11.96 ,,$598.00 ,
50,50,4/1/2014,406853,SYRINGA PRESIDENT POINCAIRE,3,,450000,14949398791,,,$11.96 ,,$598.00 ,
45,45,4/1/2014,406883,SYRINGA V ATHELINE WILBER,3,,450000,14949398999,,,$11.96 ,,$538.20 ,
15,15,4/1/2014,406913,SYRINGA V MADAME LEMOINE,3,,450000,14949399040,,,$11.96 ,,$179.40 ,
35,35,4/1/2014,072163,SYRINGA V SENSATION,3,,450000,14949409602,,,$11.96 ,,$418.60 ,
30,30,4/1/2014,406895,SYRINGA VULGARIS,5,,450000,14949399125,,,$17.20 ,,$516.00 ,
90,90,4/1/2014,072942,THUJA OC DANICA,2,,450000,14949729427,,,$8.40 ,,$756.00 ,
25,25,4/1/2014,021743,VACCINIUM CORY SUNSHINE BLUE,3,,450000,14949409879,,,$11.16 ,,$279.00 ,
25,25,4/1/2014,068293,VACCINIUM PINK LEMONADE,3,,450000,14949387757,,,$11.16 ,,$279.00 ,
25,25,4/1/2014,407083,VACCINIUM X CHIPPEWA,3,,450000,14949399408,,,$11.16 ,,$279.00 ,
25,25,4/1/2014,407093,VACCINIUM X DUKE,3,,450000,14949399439,,,$11.16 ,,$279.00 ,
10,10,4/1/2014,074065,VIB PLI T MARIESI,5,,450000,14949740651,,,$17.20 ,,$172.00 ,
20,20,4/1/2014,407155,VIBURNUM BUR CHENAULTI,5,,450000,14949399569,,,$17.20 ,,$344.00 ,
30,30,4/1/2014,407205,VIBURNUM PLI T POPCORN,5,,450000,14949399620,,,$17.20 ,,$516.00 ,
60,60,4/1/2014,407353,WEIGELA SHNG SENSATION TM PPAF,3,,450000,14949399965,,,$12.68 ,,$760.80 ,
,,,,,Total:,,,,,,,,,"$88,062.08 "
,,,,,,,,,,,,,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,,,
