Loc,Item,Plant Name,CAT,Zone,,,,,,,,,,,,,,,,,,,,,,
170000,013212,BOUG RASPBERRY ICE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013215BH,BOUG RASPBERRY ICE,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013231BH,BOUG ROSENKA,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013235BH,BOUG ROSENKA,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013235PT,BOUG ROSENKA,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013251,BOUG SCARLETT OHARA(SN DGO RED,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013255,BOUG SCARLETT OHARA(SN DGO RED,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,038141,BOUG SHARON WESLEY,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,038145,BOUG SHARON WESLEY,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,095742BH,BOUG SUNVILLEA TM CREAM P22112,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,095732BH,BOUG SUNVILLEA TM ROSE PP23272,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,013451,BOUG TEXAS DAWN TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,013455,BOUG TEXAS DAWN TM,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012671BH,BOUG TORCH GLOW,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,012675BH,BOUG TORCH GLOW,VIN,10,,,,,,,,,,,,,,,,,,,,,,
170000,090111BH,BOUG WHITE STRIPE,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,090112BH,BOUG WHITE STRIPE,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,090141BH,BOUG YANI'S DELIGHT,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,090142BH,BOUG YANI'S DELIGHT,VIN,09,,,,,,,,,,,,,,,,,,,,,,
170000,035381,BRUNNERA MAC JACK FROST P13859,PRN,03,,,,,,,,,,,,,,,,,,,,,,
160000,013651,BRUNNERA MAC VARIEGATA,PRN,03,,,,,,,,,,,,,,,,,,,,,,
170000,025282,CAESALPINIA GILLIESII,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,025285,CAESALPINIA GILLIESII,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,025285PT,CAESALPINIA GILLIESII,EVS,08,,,,,,,,,,,,,,,,,,,,,,
170000,075772,CALANDRINIA SHINING PINK,CAC,09,,,,,,,,,,,,,,,,,,,,,,
