Loc,Item Number,Plant Name,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,Confirmed Amount Remaining,Open Stock,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,SKU,UPC
450000,04188UT,HOSTA PATRIOT,Patriot Plantain Lily                                                                               ,PRN,04,1998, 3.25 ,PRNADV, 2.70 , 0.49 , 3.19 ,     ,     , 16 , 16 , , 43.20 ,     ,     ,     ,     ,05/04/16    ,,014949276242 
550000,041881,HOSTA PATRIOT,Patriot Plantain Lily                                                                               ,PRN,04,1998, 6.00 ,PRNADV, 4.98 , 0.57 , 5.55 ,     ,     , 10 , 25 , , 124.50 ,     ,     ,     ,     ,Now         ,,014949418819 
550000,083971,HOSTA SUM & SUBSTANCE,Sum & Substance Hosta                                                                               ,PRN,04,2001, 6.00 ,PRNADV, 4.98 , 0.57 , 5.55 ,     ,     , 10 , 25 , , 124.50 , 319 ,     ,     ,     ,Now         ,,014949839713 
550000,092752,HYD BLUE ENCHANTRESS R PP25209,Blue Enchantress¨  Hydrangea                                                                        ,DCS,05,2013, 17.25 ,, 15.18 , 1.42 , 16.60 ,     ,     , 5 , 50 , , 759.00 , 956 ,     ,     ,     ,Now         ,,014949370643 
450000,024373S,HYD PAN LIMELIGHT PP12874,Limelight Hardy Hydrangea                                                                           ,DCS,03,2005, 18.75 ,, 16.50 , 2.70 , 19.20 ,     ,     , 5 , 10 , , 165.00 ,     ,     ,     ,     ,Now         ,,014949414460 
450000,074613S,HYD PAN PINKY WINKY TM PP16166,Pinky Winky  Hardy Hydrangea                                                                       ,DCS,03,2011, 18.75 ,, 16.50 , 2.70 , 19.20 ,     ,     , 5 , 3 , , 49.50 ,     ,     ,     ,     ,Now         ,,014949410516 
450000,074603S,HYD PAN QUICK FIRE R PP16812,Quick Fire¨  Hardy Hydrangea                                                                        ,DCS,03,2011, 18.75 ,, 16.50 , 2.70 , 19.20 ,     ,     , 5 , 10 , , 165.00 ,     ,     ,     ,     ,Now         ,,014949410523 
450000,080963S,HYD SER TUFF STUFF TM PPAF,Tuff Stuff  Reblooming Mountain Hydrangea                                                          ,DCS,05,2013, 22.75 ,, 20.02 , 2.70 , 22.72 ,     ,     , 5 , 10 , , 200.20 ,     ,     ,     ,     ,06/01/16    ,,014949411933 
450000,408931,IBERIS SEMP WHITEOUT,Whiteout Candytuft                                                                                  ,PRN,03,2016, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 15 , , 65.40 ,     ,     ,     ,     ,05/15/16    ,,014949190210 
450000,045133,ILEX X BERRI-MAGIC R ROYALTY,Berri-Magic¨  Royalty Holly Combination                                                             ,EVS,05,2001, 15.00 ,, 13.20 , 2.70 , 15.90 ,     ,     , 5 , 10 , , 132.00 ,     ,     ,     ,     ,Now         ,,014949427316 
160000,046491S,ITEA VIR LITTLE HENRY R P10988,Little Henry¨  Dwarf Virginia Sweetspire                                                            ,DCS,05,2002, 10.00 ,, 8.80 , 1.56 , 10.36 ,     ,     , 10 , 20 , , 176.00 , 48 ,     ,     ,     ,Now         ,,014949336878 
160000,048132,JUN C SEA OF GOLD R PP17622,Sea Of Gold¨  Juniper                                                                               ,CON,03,2005, 14.25 ,, 12.54 , 2.34 , 14.88 ,     ,     , 5 , 7 , , 87.78 ,     ,     ,     ,     ,Now         ,,014949065693 
160000,049901,JUN H ICEE BLUE R P9639,Icee Blue¨  Juniper                                                                                 ,CON,03,    , 6.50 ,, 5.72 , 0.94 , 6.66 ,     ,     , 10 , 20 , , 114.40 , 14 ,     ,     ,     ,Now         ,,014949499016 
450000,053392,JUN SQUA BLUE STAR,Blue Star Juniper                                                                                   ,CON,04,    , 13.75 ,, 12.10 , 1.94 , 14.04 ,     ,     , 5 , 20 , , 242.00 ,     ,     ,     ,     ,Now         ,,014949533925 
160000,080251,KNIPH MANGO POPSICLE TM PPAF,Mango Popsicle  Dwarf Poker                                                                        ,PRN,05,2012, 6.00 ,PRNADV, 4.98 , 0.94 , 5.92 ,     ,     , 10 , 15 , , 74.70 ,     ,     ,     ,     ,Now         ,,014949358887 
160000,080271,KNIPH REDHOT POPSICLE TM PPAF,Redhot Popsicle  Poker                                                                             ,PRN,05,2012, 6.00 ,PRNADV, 4.98 , 0.94 , 5.92 ,     ,     , 10 , 15 , , 74.70 ,     ,     ,     ,     ,Now         ,,014949358900 
160000,057881,LIATRIS SPI KOBOLD,Kobold Gayfeather                                                                                   ,PRN,04,2001, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 30 , , 130.80 ,     ,     ,     ,     ,Now         ,,014949578810 
