Branch ,Item ,Size,Plant Availability,,,,,,For: 4/29/16,,,,,,,,,,,,
,,,Rep#:  600201   ,,,,,, 6:51:12  ,,,,,,,,,,,,
,,,House Accounts-East                     ,,,,,,,,,,,,,,,,,,
OPRPJ026R ,,,                      ,,,,,,,PS1;Plants that are prime condition.,,,,,,,,,,,
,,Landscape Ready:*Excluded,,,,,,,,PS2:Plants in prime condition for at least 2 more weeks.,,,,,,,,,,,
,,                  ,,,,,,,,"PS3:Plants are past blooming, but still saleable.",,,,,,,,,,,
,,,,,,,,,,*:Denotes perennials that bloom once per year.,,,,,,,,,,,
Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Plant Status,Qty Open,Qty Alloc Rem Thru 06/30/16,Net Avail Qty,Min Order Qty,List Price,UPC#,Sale Price,AVL Flag,,,
OR,003041,#1,ARMERIA MAR BLOODSTONE,Armeria maritima 'Bloodstone'                               ,Bloodstone Thrift                                           ,PRN,03,BUDS & BLOOMS,CAN FULL,PS1, 152 ,     , 152 , 10 , 5.25 ,014949030417,          , ,,,
OR,00304UT,LittleOne,ARMERIA MAR BLOODSTONE,Armeria maritima 'Bloodstone'                               ,Bloodstone Thrift                                           ,PRN,03,BUDS & BLOOMS,CAN FULL,PS1, 13 ,     , 13 , 16 , 3.25 ,014949010440,          , ,,,
OR,002691,#1,ARMERIA MAR COTTON TAIL,Armeria maritima 'Cotton Tail'                              ,Cotton Tail Thrift                                          ,PRN,03,BUDS & BLOOMS,CAN FULL,PS1, 241 ,     , 241 , 10 , 5.25 ,014949026915,          , ,,,
OR,019461,#1,ARMERIA MAR RUBRIFOLIA,Armeria maritima 'Rubrifolia'                               ,Red Leaf Thrift                                             ,PRN,03,BUDS & BLOOMS,CAN FULL,PS1, 307 ,     , 307 , 10 , 5.25 ,014949017609,          ,I,,,
OR,01946UT,LittleOne,ARMERIA MAR RUBRIFOLIA,Armeria maritima 'Rubrifolia'                               ,Red Leaf Thrift                                             ,PRN,03,BUDS & BLOOMS,CAN FULL,PS1, 189 ,     , 189 , 16 , 3.25 ,014949069387,          , ,,,
OR,003075,#5,ARONIA BRILLIANTISSIMA,Aronia arbutifolia 'Brilliantissima'                        ,Brilliant Red Chokeberry                                    ,DCS,04,-,"36""H - 12""S",, 4 ,     , 4 , 5 , 23.00 ,014949030752,          , ,,,
OR,030091,#1,ASTER FARMINGTON TM,Aster novi-belgii 'Baldco'                                  ,Farmington™  Michaelmas Daisy,PRN,03,-,CAN FULL,PS0, 347 ,     , 347 , 10 , 5.25 ,014949067239,          , ,,,
OR,412531,#1,ASTER N-A VIBRANT DOME,"Aster novae-angliae 'Vibrant Dome' P.P.# 19,538             ",Vibrant Dome New England Aster                              ,PRN,04,-,CAN FULL,PS0, 203 ,     , 203 , 10 , 5.25 ,014949423424,          , ,,,
OR,003411,#1,ASTER PURPLE DOME,Aster novae-angliae 'Purple Dome'                           ,Purple Dome New England Aster                               ,PRN,04,-,CAN FULL,PS0, 184 ,     , 184 , 10 , 5.25 ,014949034118,          , ,,,
OR,003611,#1,ASTER TRIUMPH,Aster x alpellus 'Triumph'                                  ,Triumph Aster                                               ,PRN,03,LIGHT BUD & BLOOM,CAN FULL,PS0, 207 ,     , 207 , 10 , 5.25 ,014949036112,          , ,,,
OR,001531,#1,ASTER WOOD'S PINK,Aster novi-belgii 'Wood's Pink'                             ,Woods Pink New York Aster                                   ,PRN,04,-,CAN FULL,PS0, 220 ,     , 220 , 10 , 5.25 ,014949008911,          , ,,,
OR,001591,#1,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,PRN,04,BUDS & BLOOMS,3-5 EYES,PS1, 127 ,     , 127 , 10 , 5.25 ,014949000274,          , ,,,
OR,00159UT,LittleOne,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,PRN,04,-,CAN FULL,PS0, 8 ,     , 8 , 16 , 3.25 ,014949356449,          , ,,,
OR,003521,#1,ASTILBE CHINENSIS PUMILA,Astilbe chinensis 'Pumila'                                  ,Chinese Astilbe                                             ,PRN,04,-,3-5 EYES,PS0, 14 ,     , 14 , 10 , 5.25 ,014949035214,          , ,,,
OR,027501,#1,ASTILBE COLOR FLASH R PP17343,Astilbe x arendsii 'Beauty of Ernst' P.P.# 17343            ,Color Flash®  Astilbe,PRN,04,-,3-5 EYES,PS0, 214 ,     , 214 , 10 , 7.25 ,014949061862,          , ,,,
OR,412541,#1,ASTILBE DELFT LACE,"Astilbe 'Delft Lace' P.P.# 19,839                           ",Delft Lace Astilbe                                          ,PRN,04,-,3-5 EYES,PS0, 153 ,     , 153 , 10 , 5.25 ,014949423431,          , ,,,
OR,003511,#1,ASTILBE DEUTSCHLAND,Astilbe x arendsii 'Deutschland'                            ,Deutschland Astilbe                                         ,PRN,04,BUDS & BLOOMS,3-5 EYES,PS1, 54 ,     , 54 , 10 , 5.25 ,014949035115,          , ,,,
OR,00350UT,LittleOne,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,PRN,04,-,CAN FULL,PS0, 363 ,     , 363 , 16 , 3.25 ,014949010860,          ,I,,,
OR,001631,#1,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,PRN,04,-,3-5 EYES,PS0, 49 ,     , 49 , 10 , 5.25 ,014949000281,          , ,,,
OR,034331,#1,ASTILBE MAGGIE DALEY,Astilbe chinensis 'Maggie Daley'                            ,Maggie Daley Astilbe                                        ,PRN,04,-,3-5 EYES,PS0, 726 ,     , 726 , 10 , 5.25 ,014949071731,          , ,,,
OR,001681,#1,ASTILBE RED SENTINEL,Astilbe x arendsii 'Red Sentinel'                           ,Red Sentinel Astilbe                                        ,PRN,04,-,3-5 EYES,PS0, 770 ,     , 770 , 10 , 5.25 ,014949010174,          , ,,,
OR,003541,#1,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,PRN,04,BUDS,3-5 EYES,PS1," 1,773 ",     ," 1,773 ", 10 , 5.25 ,014949035412,          , ,,,
OR,00354UT,LittleOne,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,PRN,04,-,1-2 EYES,PS0, 416 ,     , 416 , 16 , 3.25 ,014949010891,          ,I,,,
OR,003531,#1,ASTILBE SPRITE,Astilbe simplicifolia 'Sprite'                              ,Sprite Dwarf Astilbe                                        ,PRN,04,-,3-5 EYES,PS0, 446 ,     , 446 , 10 , 5.25 ,014949035313,          , ,,,
OR,017601,#1,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,PRN,04,-,3-5 EYES,PS0, 4 ,     , 4 , 10 , 5.25 ,014949378427,          , ,,,
OR,037391,#1,ASTILBE WHT SENSATION PP18462,Astilbe simplicifolia 'White Sensation' P.P.# 18462         ,White Sensation Astilbe                                     ,PRN,04,-,3-5 EYES,PS0, 334 ,     , 334 , 10 , 5.25 ,014949217139,          , ,,,
OR,400811,#1,ASTILBE YOUNIQUE CRM TM P20324,"Astilbe 'Verscarmine' P.P.# 20, 324                         ",Younique™  Carmine Astilbe,PRN,04,BUDS,3-5 EYES,PS0, 1 ,     , 1 , 10 , 5.25 ,014949388594,          , ,,,
OR,400821,#1,ASTILBE YOUNIQUE SLP TM P20656,"Astilbe x 'Verssilvery Pink' P.P.# 20,656                   ",Younique™  Silvery Pink Astilbe,PRN,04,BUDS,3-5 EYES,PS0, 424 ,     , 424 , 10 , 5.25 ,014949388600,          , ,,,
OR,023191,#1,ASTRANTIA ABBEY ROAD PP14961,Astrantia major 'Abbey Road' P.P.# 14961                    ,Abbey Road Masterwort                                       ,PRN,04,LIGHT BUD & BLOOM,CAN FULL,PS0, 134 ,     , 134 , 10 , 7.25 ,014949043103,          ,I,,,
OR,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,RHO,06,BUDS & BLOOMS,"8""H - 12""S",, 28 ,     , 28 , 5 , 18.25 ,014949359730,          , ,,,
OR,007075,#5,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,RHO,05,BUDS & BLOOMS,18''H - 18''S,, 84 ,     , 84 , 5 , 24.50 ,014949070758,          , ,,,
OR,008555,#5,AZALEA EX SUNSET PINK,Azalea x 'Sunset Pink' (Exbury Hybrid)                      ,Sunset Pink Azalea                                          ,RHO,05,BUDS & BLOOMS,"21""H - 16""S",, 371 ,     , 371 , 5 , 24.50 ,014949085554,          ,I,,,
OR,002031,#1,AZALEA GD RENEE MICHELLE,Azalea x'Renee Michelle' (Girard hybrid)                    ,Renee Michelle Azalea                                       ,RHO,06,BUDS & BLOOMS,"6""H - 8""S",, 127 ,     , 127 , 10 , 6.50 ,014949250310,          ,I,,,
