Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
CT,044703,CORNUS SERICEA KELSEYI,Cornus sericea 'Kelseyi'                                    ,Kelsey's Dwarf Red-Osier Dogwood                            ,,,,,,,,,,,,,,,,,
CT,027587,CORNUS X STELLAR PINK R,Cornus x 'Rutgan'                                           ,Stellar Pink®  Dogwood,,,,,,,,,,,,,,,,,
CT,402055,CORYLUS AMERICANA,Corylus americana                                           ,American Hazelnut                                           ,,,,,,,,,,,,,,,,,
CT,028207PT,CORYLUS AV CONTORTA,Corylus avellana 'Contorta'                                 ,Harry Lauder's Walking Stick                                ,,,,,,,,,,,,,,,,,
CT,028503,COT APICULATUS,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,,,,,,,,,,,,,,,,,
CT,028553,COT APICULATUS TOM THUMB,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,,,,,,,,,,,,,,,,,
CT,402073,COT HOR HESSEI,Cotoneaster x 'Hessei'                                      ,Hessei Cotoneaster                                          ,,,,,,,,,,,,,,,,,
CT,028145,COTINUS COG ROYAL PURPLE,Cotinus coggygria 'Royal Purple'                            ,Royal Purple Smoke Tree                                     ,,,,,,,,,,,,,,,,,
CT,028157PT,COTINUS X GRACE,Cotinus x 'Grace'                                           ,Grace Smoke Tree                                            ,,,,,,,,,,,,,,,,,
CT,084671,DELOS JWL OF DSRT RUBY P23453,"Delosperma cooperi 'Jewel of the Desert Ruby' P.P.#23,453   ",Jewel of the Desert Ruby Ice Plant                          ,,,,,,,,,,,,,,,,,
CT,098591,DELOS JWL OF DSRT TOPAZ P23492,"Delosperma cooperi 'Jewel of the Desert Topaz' P.P. #23,492 ",Jewel of the Desert Topaz Ice Plant                         ,,,,,,,,,,,,,,,,,
CT,078741,DELOSPERMA FIRE SPINNER R,Delosperma 'P001S'                                          ,Fire Spinner®  Ice Plant,,,,,,,,,,,,,,,,,
CT,05946UT,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,,,,,,,,,,,,,,,,,
CT,075841,DELOSPERMA NUBIGENUM,Delosperma nubigenum                                        ,Hardy Yellow Ice Plant                                      ,,,,,,,,,,,,,,,,,
CT,004591,DELPHINIUM GRAND BLUE MIRROR,Delphinium grandiflorum 'Blue Mirror'                       ,Blue Mirror Delphinium                                      ,,,,,,,,,,,,,,,,,
CT,402243S,DEUTZIA YUKI SNOWFLAKE TM PPAF,Deutzia 'NCDX1' P.P.A.F.                                    ,Yuki Snowflake™  Deutzia,,,,,,,,,,,,,,,,,
