Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1469683,2015 SPRING SBO               ,06/01/15  ,033492,#2 STAKED,CLEM X HANIA,VIN,04,Hania Clematis                                                                                      ,    ,18.00 ,,15.30 , 5 , 7 , 107.10 ,     ,     ,     ,05/01/15    ,,,,2.70 , 18.00 ,     ,, 37.99 ,014949210314 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,044485,#5 STAKED,CLEM X JACKMANII SUPERBA,VIN,04,Jackman Superba Clematis                                                                            ,    ,29.50 ,,25.08 , 5 , 10 , 250.80 ,     ,     ,     ,Now         ,-,FULL STK,,5.41 , 30.49 ,     ,,     ,014949266083 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,033512,#2 STAKED,CLEM X JULKA,VIN,04,Julka Clematis                                                                                      ,    ,18.00 ,,15.30 , 5 , 5 , 76.50 ,     ,     ,     ,05/01/15    ,,,,2.70 , 18.00 ,     ,, 37.99 ,014949210321 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,027061,#1 STAKED,CLEM X MULTI-BLUE,VIN,04,Multi-Blue Clematis                                                                                 ,    ,9.00 ,,7.65 , 10 , 10 , 76.50 ,     ,     ,     ,04/15/15    ,,,,1.08 , 8.73 ,     ,, 18.99 ,014949270615 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,027442,#2 STAKED,CLEM X NELLY MOSER,VIN,04,Nelly Moser Clematis                                                                                ,    ,18.00 ,,15.30 , 5 , 5 , 76.50 ,     ,     ,     ,Now         ,-,FULL STK,,2.70 , 18.00 ,     ,, 37.99 ,014949274422 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,027461,#1 STAKED,CLEM X NIOBE,VIN,04,Niobe Clematis                                                                                      ,    ,9.00 ,,7.65 , 10 , 10 , 76.50 ,     ,     ,     ,04/01/15    ,,,,1.08 , 8.73 ,     ,, 18.99 ,014949274613 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,026372,#2 STAKED,CLEM X TOKI,VIN,04,Toki Clematis                                                                                       ,    ,18.00 ,,15.30 , 5 , 5 , 76.50 ,     ,     ,     ,Now         ,-,FULL STK,,2.70 , 18.00 ,     ,, 37.99 ,014949233740 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,056212,#2 STAKED,CLEM X WESTERPLATTE,VIN,04,Westerplatte Clematis                                                                               ,2010,18.00 ,,15.30 , 5 , 10 , 153.00 ,     ,     ,     ,04/01/15    ,-,,,2.70 , 18.00 ,     ,, 37.99 ,014949287767 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,031721,#1,CORDYLINE BAUERI,EVS,09,Bauer's Dracaena Palm                                                                               ,    ,8.00 ,,6.80 , 10 , 20 , 136.00 ,     ,     ,     ,Now         ,-,"14""H",,1.13 , 7.93 ,     ,, 17.99 ,014949317211 
OR,1469683,2015 SPRING SBO               ,04/29/15  ,027971,#1,COREOPSIS VERT ZAGREB,PRN,03,Zagreb Threadleaf Tickseed                                                                          ,    ,4.90 ,,4.17 , 10 , 12 , 50.04 ,     ,     ,     ,04/01/15    ,,,PS0,1.08 , 5.25 ,     ,, 11.99 ,014949279717 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,027861,#1,CORNUS ALBA IVORYHALO TM,DCS,03,Ivory Halo®  Dogwood                                                                                ,    ,8.25 ,,7.01 , 10 , 10 , 70.10 ,     ,     ,     ,Now         ,DORMANT,"8""H - 8""S",,1.08 , 8.09 ,     ,, 16.99 ,014949278611 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,072241,#1,DORONICUM OR LEONARDO TM COMP,PRN,04,Leonardo™  Compact Leopard's Bane                                                                   ,2011,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,-,CAN FULL,PS2,1.08 , 5.25 ,     ,, 11.99 ,014949330296 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,032121,#1,ERIGERON GLA SEA BREEZE P12076,PRN,05,Sea Breeze Fleabane                                                                                 ,    ,4.90 ,,4.17 , 10 , 10 , 41.70 ,     ,     ,     ,Now         ,-,CAN FULL,PS0,1.08 , 5.25 ,     ,, 12.99 ,014949321218 
CA,1469107,2015 SPRING SBO               ,04/22/15  ,035405ES,#5 ESPALIER,EUO KIA MANHATTAN,EVS,05,Manhattan Euonymus                                                                                  ,    ,51.00 ,,43.35 , 2 , 2 , 86.70 ,     ,     ,     ,04/01/15    ,-,,,8.45 , 51.80 ,     ,, 105.99 ,014949354155 
CT,1474797,2015 SPRING SBO               ,06/01/15  ,018761S,SuperOne TM,FERN-ATHYRIUM GHOST,FRN,04,Ghost Fern                                                                                          ,    ,8.75 ,,7.44 , 10 , 12 , 89.28 ,     ,     ,     ,05/15/15    ,,,,0.75 , 8.19 ,     ,, 17.99 ,014949067789 
OR,1469683,2015 SPRING SBO               ,06/01/15  ,03612UT,LittleOne,FERN-ATHYRIUM NIP PICTUM,FRN,05,Japanese Painted Fern                                                                               ,    ,4.50 ,,3.83 , 16 , 32 , 122.56 ,     ,     ,     ,Now         ,CUT BACK,CAN FULL,,0.81 , 4.64 ,     ,, 10.99 ,014949035559 
