Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
OR,1361955,OR 2014                       ,5/15/2014,21862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo™  Clematis                                                                          ,2009,17.5,,14.7,5,15,220.5,Now         ,BREAKING DORMANCY,FULL STK,1.73,16.43,     ,,39.99,14949108727
OR,1361955,OR 2014                       ,5/15/2014,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,Sweet Summer Love Clematis                                                                          ,2013,9.5,,7.98,10,40,319.2,5/1/2014,,,1.15,9.13,     ,,25,14949372715
OR,1361955,OR 2014                       ,5/15/2014,38002,#2 STAKED,CLEM TEX PRINCESS DIANA,Princess Diana Clematis                                                                             ,    ,17,,14.28,5,5,71.4,5/1/2014,-,,1.73,16.01,     ,,39.99,14949263556
OR,1361955,OR 2014                       ,5/15/2014,51481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver™  Danielle Clematis                                                                       ,2010,9.5,,7.98,10,10,79.8,Now         ,BREAKING DORMANCY,FULL STK,0.69,8.67,     ,,19.99,14949340110
OR,1361955,OR 2014                       ,5/15/2014,51482,#2 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver™  Danielle Clematis                                                                       ,2010,17,,14.28,5,5,71.4,5/1/2014,,,1.73,16.01,     ,,39.99,14949359334
OR,1361955,OR 2014                       ,5/15/2014,48741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Vancouver™  Starry Nights Clematis                                                                  ,2010,9.5,,7.98,10,10,79.8,Now         ,BREAKING DORMANCY,FULL STK,0.69,8.67,     ,,19.99,14949339930
OR,1361955,OR 2014                       ,5/15/2014,48742,#2 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Vancouver™  Starry Nights Clematis                                                                  ,2010,17,,14.28,5,5,71.4,Now         ,BREAKING DORMANCY,FULL STK,1.73,16.01,     ,,39.99,14949271575
OR,1361955,OR 2014                       ,5/15/2014,33492,#2 STAKED,CLEM X HANIA,Hania Clematis                                                                                      ,    ,17,,14.28,5,5,71.4,Now         ,BREAKING DORMANCY,FULL STK,1.73,16.01,     ,,39.99,14949210314
OR,1361955,OR 2014                       ,5/15/2014,27262,#2 STAKED,CLEM X JACKMANII,Jackman Clematis                                                                                    ,    ,17,,14.28,5,15,214.2,5/1/2014,-,,1.73,16.01,     ,,39.99,14949272626
OR,1361955,OR 2014                       ,5/15/2014,44482,#2 STAKED,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis                                                                            ,    ,17,,14.28,5,15,214.2,5/1/2014,-,,1.73,16.01,     ,,39.99,14949235133
OR,1361955,OR 2014                       ,5/15/2014,34432,#2 STAKED,CLEM X KILIAN DONAHUE,Kilian Donahue Clematis                                                                             ,    ,17,,14.28,5,20,285.6,Now         ,BREAKING DORMANCY,FULL STK,1.73,16.01,     ,,39.99,14949212080
OR,1361955,OR 2014                       ,5/15/2014,27462,#2 STAKED,CLEM X NIOBE,Niobe Clematis                                                                                      ,    ,17,,14.28,5,5,71.4,Now         ,BREAKING DORMANCY,FULL STK,1.73,16.01,     ,,39.99,14949274620
OR,1361955,OR 2014                       ,5/15/2014,26372,#2 STAKED,CLEM X TOKI,Toki Clematis                                                                                       ,    ,17,,14.28,5,10,142.8,Now         ,BREAKING DORMANCY,FULL STK,1.73,16.01,     ,,39.99,14949233740
