Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,Retail,Selling Price,Price Code,Extended,
6,6,5/1/2016,407622S,BUD LO&BEHLD R BLU CHP JR PPAF,2S,,550000,014949414873,,$48.99 ,$17.10 ,,$102.60 ,
5,5,5/1/2016,077395,BUDDLEJA MISS MOLLY PPAF,5,,550000,014949355770,,$65.99 ,$22.56 ,,$112.80 ,
10,10,5/1/2016,412571,CHRY (LEU) REAL GALAXY PPAF,1,,550000,014949423394,,$15.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,407861,CHRY (LEUCA) X REAL GLORY,1,,550000,014949412725,,$15.99 ,$5.46 ,,$54.60 ,
5,5,5/1/2016,408492,COLOCASIA RYL HWN R HAWAN PNCH,2,,550000,014949413685,,$44.99 ,$15.77 ,,$78.85 ,
20,20,5/1/2016,031721,CORDYLINE BAUERI,1,,550000,014949317211,,$21.99 ,$7.84 ,,$156.80 ,
10,10,5/1/2016,017421,CORDYLINE RED STAR,1,,550000,014949005149,,$22.99 ,$8.31 ,,$83.10 ,
10,10,5/1/2016,018401,CORE CRUZIN' TM BROAD STRT PAF,1,,550000,014949384589,,$15.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,018421,CORE CRUZIN' TM ELCTRC AVE PAF,1,,550000,014949384619,,$15.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,097231,DELOSPERMA FIRE WONDER PPAF,1,,550000,014949380109,,$15.99 ,$5.46 ,,$54.60 ,
10,10,5/1/2016,002991,ECHINACEA POWWOW R WILDBERRY,1,,550000,014949353004,,$16.99 ,$5.70 ,,$57.00 ,
32,32,5/1/2016,00299UT,ECHINACEA POWWOW R WILDBERRY,QT,,550000,014949354186,,$9.99 ,$3.09 ,,$98.88 ,
10,10,5/1/2016,036281,ECHINACEA SUNDOWN TM PP17659,1,,550000,014949211670,,$0.00 ,$6.89 ,,$68.90 ,
