Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,081762,#2,FUCHSIA DEBRON'S FNNY VALNTINE,Fuchsia hybrida 'DebRon's Funny Valentine'                  ,DebRon's Funny Valentine Fuchsia                            ,Deciduous sumr flower'g shrub,DCS,08,RDM, 13.25 ,,,     , 5 ,     , 272 ,05/01/15  ,     ,          ,     ,          
OR,081772,#2,FUCHSIA DEBRON'S JOAN LOU,                                                            ,                                                            ,Deciduous sumr flower'g shrub,DCS,08,RDM, 13.25 ,,,     , 5 ,     , 252 ,05/01/15  ,     ,          ,     ,          
CA,089221,#1,GAILLARDIA FANFARE BLZE P23494,"Gaillardia x grandiflora 'Fanfare Blaze' P.P.#23,494        ",Fanfare Blaze Blanket Flower                                ,Mid spring border flowering,PRN,03,PHI, 5.75 ,,CAN FULL, 72 , 10 ,     , 72 ,04/01/15  ,     ,          ,     ,          
CA,411531,#1,GARVINEA ORANGINA R,"Gerbera x 'GARGORAN' P.P.# 22, 862                          ",Garvinea®  Orangina Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6""H-6""S",     , 10 , 3 ,     ,          ,     ,          ,     ,          
CA,410441,#1,GARVINEA SOPHIE R,Gerbera x 'GARSOPHIE IMP' P.P.A.F.                          ,Garvinea®  Sophie Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6'H-6""S",     , 10 , 239 ,     ,          ,     ,          ,     ,          
CA,410471,#1,GARVINEA SWEET DREAMS R,Gerbera x 'GARDREAMS' P.P.A.F.                              ,Garvinea®  Sweet Dreams Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6""H-6""S",     , 10 , 257 ,     ,          ,     ,          ,     ,          
CA,410451,#1,GARVINEA SWEET GLOW R,Gerbera x 'GARGLOW IMP' P.P.A.F.                            ,Garvinea®  Sweet Glow Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6""H-6""S",     , 10 , 176 ,     ,          ,     ,          ,     ,          
CA,410461,#1,GARVINEA SWEET HONEY R,Gerbera x 'GARHONEY IMP' P.P.A.F.                           ,Garvinea®  Sweet Honey Gerbera Daisy,Tropical perennial,PRN,07,, 5.25 ,BUDS & BLOOMS,"6""H-6""S",     , 10 , 144 ,     ,          ,     ,          ,     ,          
OR,086711,#1,GAURA L PINK LADY PP17494,"Gaura lindheimeri 'Pink Lady' P.P.#17,494                   ",Pink Lady Gaura                                             ,Mid spring interm. flowering,PRN,05,PPP, 4.90 ,BUDS & BLOOMS,, 32 , 10 , 63 , 63 ,05/01/15  ,     ,          ,     ,          
OR,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,Deschampsia caespitosa 'Schottland'                         ,Scottish Tufted Hair Grass                                  ,Small grasses,GRS,04,, 14.50 ,,,     , 5 , 101 , 101 ,03/01/15  ,     ,          ,     ,          
CA,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,Deschampsia caespitosa 'Schottland'                         ,Scottish Tufted Hair Grass                                  ,Small grasses,GRS,04,, 14.50 ,,, 42 , 5 ,     , 123 ,04/01/15  ,     ,          ,     ,          
CA,005572,#2,GR-MIS SIN MALEPARTUS,Miscanthus sinensis 'Malepartus'                            ,Malepartus Maiden Grass                                     ,Large grass,GRS,05,, 14.25 ,PLUMES,"12""H", 76 , 5 , 105 ,     ,          ,     ,          ,     ,          
CA,022961,#1,GR-PAN VIR NORTHWIND,Panicum virgatum 'Northwind'                                ,Northwind Switch Grass                                      ,Large grass,GRS,04,, 6.75 ,PLUMES,"24""H", 255 , 10 , 65 , 294 ,04/01/15  ,     ,          ,     ,          
OR,012082,#2,GR-SPOROBOLUS HETEROLEPIS,Sporobolus heterolepis                                      ,Prairie Dropseed                                            ,Large grass,GRS,03,, 14.25 ,,, 14 , 5 ,     , 14 ,03/01/15  ,     ,          ,     ,          
CA,079171,#1,GRAPTOPETALUM BELLUM,Graptopetalum bellum                                        ,Chihuahua Flower                                            ,Succulent/cactus/yucca,CAC,09,, 7.25 ,,, 17 , 10 ,     , 17 ,12/31/14  ,     ,          ,     ,          
OR,076281,#1,HEM RUBY SPIDER,Hemerocallis x 'Ruby Spider'                                ,Ruby Spider Daylily                                         ,Hemerocallis,PRN,03,, 4.90 ,-,2-3 FANS, 4 , 10 , 4 , 4 ,03/01/15  ,     ,          ,     ,          
OR,086871,#1,HEUCHERA CARNIVAL COCOMINT PAF,Heuchera x 'Carnival Cocomint' (P.P.A.F.)                   ,Carnival Cocomint Coral Bells                               ,Shade foliage/flower,PRN,04,BHC, 7.85 ,,,     , 10 , 131 ,     ,          ,     ,          ,     ,          
OR,087091,#1,HEUCHERA CARNIVAL COFFE BN PAF,Heuchera x 'Coffee Bean' P.P.A.F.                           ,Carnival Coffee Bean Coral Bells                            ,Shade foliage/flower,PRN,04,BHC, 7.85 ,,,     , 10 , 283 ,     ,          ,     ,          ,     ,          
OR,087131,#1,HEUCHERA CARNIVAL WATRMELN PAF,Heuchera x villosa 'Watermelon' P.P.A.F.                    ,Carnival Watermelon Coral Bells                             ,Shade foliage/flower,PRN,04,BHC, 7.85 ,,, 3 , 10 , 3 ,     ,          ,     ,          ,     ,          
CA,055241,#1,HIB R C'EST BON,Hibiscus rosa-sinensis 'C'est Bon'                          ,C'est Bon Cajun Hibiscus                                    ,Evergreen trop flower'g shrub,EVS,10,OLD, 8.00 ,-,"10""H-8""S",     , 10 , 42 , 42 ,04/01/15  ,     ,          ,     ,          
CA,055245,#5,HIB R C'EST BON,Hibiscus rosa-sinensis 'C'est Bon'                          ,C'est Bon Cajun Hibiscus                                    ,Evergreen trop flower'g shrub,EVS,10,OLD, 23.00 ,BUDS & BLOOMS,"18""H-15""S", 16 , 5 , 46 , 46 ,04/01/15  ,     ,          ,     ,          
CA,055251,#1,HIB R HEAT FLASH,Hibiscus rosa-sinensis 'Heat Flash'                         ,Heat Flash Cajun Hibiscus                                   ,Evergreen trop flower'g shrub,EVS,10,OLD, 8.00 ,-,"10""H-8""S", 20 , 10 ,     , 20 ,04/01/15  ,     ,          ,     ,          
CA,055255,#5,HIB R HEAT FLASH,Hibiscus rosa-sinensis 'Heat Flash'                         ,Heat Flash Cajun Hibiscus                                   ,Evergreen trop flower'g shrub,EVS,10,OLD, 23.00 ,BUDS,"18""H-15""S", 16 , 5 , 89 , 89 ,04/01/15  ,     ,          ,     ,          
CA,055315,#5,HIB R WHIPPED CREAM,Hibiscus rosa-sinensis 'Whipped Cream'                      ,Whipped Cream Cajun Hibiscus                                ,Evergreen trop flower'g shrub,EVS,10,OLD, 23.00 ,BUDS & BLOOMS,"18""H-18""S", 5 , 5 , 14 ,     ,          ,     ,          ,     ,          
OR,093062,#2,HOSTA ENTERPRISE,Hosta 'Enterprise'                                          ,Enterprise Hosta                                            ,Hosta,PRN,03,, 14.25 ,CUT BACK,2-4 EYES, 95 , 5 , 238 , 238 ,04/01/15  ,     ,          ,     ,          
OR,075112,#2,HOSTA FANTASY ISLAND,Hosta 'Fantasy Island'                                      ,Fantasy Island Plantain Lily                                ,Hosta,PRN,03,, 14.25 ,-,2-4 EYES,     , 5 , 139 , 139 ,04/01/15  ,     ,          ,     ,          
