Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,YOUR 2014 ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND
 QTY 
READY DATE","3RD 
QTY 
AVAIL","3RD 
QTY 
READY DATE",2014 List Price,Condition,Current Specs
CA,    ,014011,#1,GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                               ,GRS,04,,,     , 559 ,05/01/14  ,     ,          , 6.50 ,-,"6""H *"
CA,    ,014012,#2,GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                               ,GRS,04,,,     , 36 ,04/01/14  ,     ,          , 13.75 ,-,"12""H *"
CA,    ,014071,#1,GR-CAL ACUT OVERDAM,Overdam Feather Reed Grass                                  ,GRS,04,,,     , 334 ,04/01/14  ,     ,          , 6.25 ,-,"6""H"
CA,    ,022581,#1,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                         ,GRS,05,,, 50 ,,,,          , 6.25 ,WINTER COLOR,"17""H *"
CA,    ,022582,#2,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                         ,GRS,05,,, 250 ,,,,          , 13.50 ,WINTER COLOR,"17""H"
CA,    ,022585,#5,GR-CAREX BUCHANANII,Fox Red Curly Sedge                                         ,GRS,05,,, 177 ,,,,          , 17.50 ,-,"15""H *"
CA,    ,022661,#1,GR-CAREX GLAUCA,Blue Sedge                                                  ,GRS,05,,, 13 ,,,,          , 6.25 ,WINTER COLOR,"6""H"
CA,    ,024091,#1,GR-CHASMANTHIUM LATIFOLIUM,Northern Sea Oats                                           ,GRS,04,,,     , 75 ,04/10/14  ,     ,          , 6.25 ,-,"6""H *"
CA,    ,031941,#1,GR-ELYMUS ARENARIUS BLUE DUNE,Blue Dune Lyme Grass                                        ,GRS,04,,, 264 ,     ,          ,     ,          , 6.25 ,-,"7""H"
CA,    ,028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                          ,GRS,04,,, 124 ,     ,          ,     ,          , 6.25 ,CUT BACK,"8""H"
CA,    ,028055,#5,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                          ,GRS,04,,, 40 ,     ,          ,     ,          , 17.50 ,-,"15""H"
CA,    ,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,Elijah Blue Fescue                                          ,GRS,04,,," 5,256 ",     ,          ,     ,          , 5.75 ,-,"4""H"
CA,    ,035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                              ,GRS,04,,,     , 396 ,03/15/14  ,     ,          , 10.25 ,-,2/3 CAN FULL
CA,    ,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,Golden Japanese Forest Grass                                ,GRS,04,,,     , 85 ,04/01/14  ,     ,          , 8.00 ,-,2/3 CAN FULL
CA,    ,039971,#1,GR-HELICTOTRICHON SEMPERVIRENS,Blue Oat Grass                                              ,GRS,04,,,     , 581 ,06/01/14  ,     ,          , 6.25 ,-,"6""H"
CA,    ,061741,#1,GR-MIS SIN CABARET,Cabaret Japanese Silver Grass                               ,GRS,05,,, 30 ,     ,          ,     ,          , 6.25 ,-,"10""H *"
CA,2011,005452,#2,GR-MIS SIN DIXIELAND,Dwarf Variegated Maiden Grass                               ,GRS,04,,, 40 ,     ,          ,     ,          , 13.50 ,CUT BACK,"2""H"
CA,    ,061561,#1,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                ,GRS,05,,, 304 ,     ,          ,     ,          , 6.25 ,-,"8""H"
CA,    ,061562,#2,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                ,GRS,05,,, 40 ,     ,          ,     ,          , 13.50 ,-,"10""H"
CA,    ,044591,#1,GR-MIS SIN LITTLE ZEBRA P13008,Little Zebra Dwarf Japanese Silver Grass                    ,GRS,05,HOR,, 17 ,     ,          ,     ,          , 6.25 ,CUT BACK,"3""H"
