Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,,Qty Allocated,Min Order Qty,Available Later,On,Available Later,On,,,,,,,,,,
160000,075111,HOSTA FANTASY ISLAND,Hosta 'Fantasy Island'                                      ,Fantasy Island Plantain Lily                                ,Hosta,PRN, 1.00 , 68 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,017491,HOSTA FIRE & ICE,Hosta x 'Fire and Ice'                                      ,Fire And Ice Plantain Lily                                  ,Hosta,PRN, 1.00 , 41 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,042981,HOSTA FIRST FROST,Hosta x 'First Frost'                                       ,First Frost Plantain Lily                                   ,Hosta,PRN, 1.00 , 45 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,403491,HOSTA FRAGRANT BOUQUET,Hosta fortunei 'Fragrant Bouquet'                           ,Fragrant Bouquet Hosta                                      ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,052631,HOSTA FROSTY RIBBONS R PPAF,Hosta x 'MonLisa' P.P.A.F.                                  ,Frosty Ribbons®  Hosta,Hosta,PRN, 1.00 , 18 , 10 , 160 ,04/01/16  ,     ,          ,,,,,,,,,,
160000,017531,HOSTA JUNE,Hosta x 'June'                                              ,June Plantain Lily                                          ,Hosta,PRN, 1.00 , 150 , 10 , 684 ,10/15/15  , 684 ,03/01/16  ,,,,,,,,,,
160000,006981,HOSTA MINUTEMAN,Hosta x 'Minuteman'                                         ,Minuteman Plantain Lily                                     ,Hosta,PRN, 1.00 , 165 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,028391,HOSTA OLIVE BAILEY LANGDON,Hosta x 'Olive Bailey Langdon'                              ,Olive Bailey Langdon Plantain Lily                          ,Hosta,PRN, 1.00 , 111 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,403561,HOSTA PARADIGM,Hosta 'Paradigm'                                            ,Paradigm Hosta                                              ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,062011,HOSTA PAUL'S GLORY,Hosta 'Paul's Glory'                                        ,Paul's Glory Hosta                                          ,Hosta,PRN, 1.00 , 160 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,403641,HOSTA SO SWEET,Hosta x 'So Sweet'                                          ,So Sweet Hosta                                              ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,075161,HOSTA THE RAZOR'S EDGE,Hosta x 'The Razor's Edge'                                  ,The Razor's Edge Plantain Lily                              ,Hosta,PRN, 1.00 ,     , 10 ,     ,          ,     ,          ,,,,,,,,,,
170000,028322,HYD VAUGHN'S LILLIE R PP12982,"Hydrangea quercifolia 'Vaughn's Lillie'®  P.P. #12,982",Vaughn's Lillie®  Oak Leaf Hydrangea,Hydrangea,DCS, 1.00 ,     , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,065381,HYPERICUM AN IGNITE RED P19468,"Hypericum androsaemum 'Seifire' P.P. #19,468                ",Ignite Red St. John's Wort                                  ,Deciduous sumr flower'g shrub,DCS, 1.00 , 35 , 10 ,     ,          ,     ,          ,,,,,,,,,,
160000,045132,ILEX X BERRI-MAGIC R ROYALTY,Ilex x meserveae 'Blue Prince' & 'Blue Princess'            ,Berri-Magic®  Royalty Holly Combination,Ilex,EVS, 1.00 , 76 , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,053655,JUN SC BLUE ARROW,Juniperus scopulorum 'Blue Arrow'                           ,Blue Arrow Juniper                                          ,Cupressus & Juniper upright,CON, 1.00 , 192 , 5 ,     ,          ,     ,          ,,,,,,,,,,
170000,03684M,JUN V TAYLOR,Juniperus virginiana 'Taylor'                               ,Taylor Juniper                                              ,Cupressus & Juniper upright,CON, 1.00 , 24 , 2 ,     ,          ,     ,          ,,,,,,,,,,
